Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2010,Napatech A/S,Communications & Networking,153.84,53.2,55.94,15.67,0.0,65.12,0.0,0.9270577395577395
2011,Napatech A/S,Communications & Networking,140.69,45.96,58.97,17.7,0.0,74.09,0.0,0.7215548657038735
2012,Napatech A/S,Communications & Networking,181.97,52.83,67.72999999999999,21.74,0.37,88.47,0.0,0.9356844127952977
2013,Napatech A/S,Communications & Networking,190.67,53.99,89.34,16.6,0.46,212.82,0.0,0.2982802368198476
2014,Napatech A/S,Communications & Networking,204.44,54.61,111.68,17.96,0.47,230.2,0.0,0.24170286707211117
2015,Napatech A/S,Communications & Networking,259.88,74.33,126.39,18.1,0.63,253.42,0.0,0.3023833951542894
2016,Napatech A/S,Communications & Networking,292.9,88.75,131.0,18.92,0.41,249.93,0.0,0.36674268795262666
2017,Napatech A/S,Communications & Networking,258.5,83.57,135.04,22.47,0.58,242.3,0.0,0.2549731737515477
2018,Napatech A/S,Communications & Networking,136.77,73.52,136.84,23.78,2.28,46.07,0.0,-1.1306707184718903
2019,Napatech A/S,Communications & Networking,225.0,57.26,0.0,0.0,1.6,103.37,0.0,1.6072361420141241
2020,Napatech A/S,Communications & Networking,279.48,79.52,0.0,68.41,0.54,126.39,0.0,2.1190758762560327
2021,Napatech A/S,Communications & Networking,267.15,75.32,0.0,46.94,0.27,179.72,0.0,1.3270643222791008
2022,Napatech A/S,Communications & Networking,215.29,93.55,0.0,63.9,1.25,124.46,0.0,1.4815201671219669
2023,Napatech A/S,Communications & Networking,279.76,75.23,0.0,133.74,2.13,167.63,0.0,2.0052496569826403
2024,Napatech A/S,Communications & Networking,181.39,57.73,0.0,159.08,2.99,242.11,0.0,1.1554665234810622
