Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,NRC Group ASA,Construction & Engineering,179.6,41.96,108.58,0.0,0.63,78.11,0.0,0.36397388298553307
2005,NRC Group ASA,Construction & Engineering,411.53,119.7,214.19,0.0,9.58,189.49,0.0,0.3591746266293735
2006,NRC Group ASA,Construction & Engineering,547.97,163.76,274.74,0.0,0.0,373.16,0.0,0.29335941687211925
2007,NRC Group ASA,Construction & Engineering,1077.26,233.85,321.49,0.0,54.5,823.92,0.0,0.5673123604233421
2008,NRC Group ASA,Construction & Engineering,821.68,309.75,402.64,0.0,28.13,852.83,2.47,0.0948906816321758
2009,NRC Group ASA,Construction & Engineering,736.9,242.46,402.13,0.0,34.99,696.14,1.39,0.08217567703181218
2010,NRC Group ASA,Construction & Engineering,569.85,213.05,392.02,0.0,48.12,107.85,0.01,-0.772668273688114
2011,NRC Group ASA,Construction & Engineering,288.63,100.15,246.28,0.0,0.0,-194.42,0.01,0.2973098091661952
2012,NRC Group ASA,Construction & Engineering,265.15,75.5,164.05,0.0,28.04,40.87,0.0,-0.05970149253731425
2013,NRC Group ASA,Construction & Engineering,219.7,68.12,131.4,0.0,13.14,56.26,0.0,0.12513330963384248
2014,NRC Group ASA,Construction & Engineering,245.97,95.75,117.81,0.0,1.92,74.66,0.0,0.40838467720332167
2015,NRC Group ASA,Construction & Engineering,678.0,453.0,193.0,0.0,6.0,727.0,0.0,0.03576341127922971
2016,NRC Group ASA,Construction & Engineering,1975.0,1343.0,480.0,0.0,12.0,1014.0,0.0,0.13806706114398423
2017,NRC Group ASA,Construction & Engineering,2373.0,1407.0,737.0,0.0,10.0,1357.0,0.0,0.16138540899042003
2018,NRC Group ASA,Construction & Engineering,3176.0,2041.0,1003.0,0.0,14.0,1440.0,2.0,0.08183079056865465
2019,NRC Group ASA,Construction & Engineering,6193.0,3768.0,2159.0,155.0,70.0,2030.0,3.0,0.17265125430398426
2020,NRC Group ASA,Construction & Engineering,6449.0,3945.0,2240.0,168.0,79.0,2729.0,3.0,0.12920937042459738
2021,NRC Group ASA,Construction & Engineering,5957.0,3256.0,2400.0,158.0,65.0,2619.0,2.0,0.15032430370087752
2022,NRC Group ASA,Construction & Engineering,7030.0,4346.0,1857.0,151.0,62.0,2310.0,2.0,0.3961937716262976
2023,NRC Group ASA,Construction & Engineering,6732.0,3807.0,2003.0,160.0,85.0,2429.0,0.0,0.4104569781803211
2024,NRC Group ASA,Construction & Engineering,6892.0,4115.0,2045.0,140.0,84.0,1710.0,0.0,0.4608187134502924
