Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2007,Polaris Media ASA,Media & Publishing,985.8,169.4,651.0,0.0,0.0,428.6,0.5,0.38545793521323696
2008,Polaris Media ASA,Media & Publishing,1039.36,192.88,731.5,0.0,4.96,698.2,5.35,0.15637836685381268
2009,Polaris Media ASA,Media & Publishing,1608.74,295.13,1172.59,0.0,0.0,683.07,31.16,0.19744340058524593
2010,Polaris Media ASA,Media & Publishing,1812.93,321.72,1251.4,0.0,0.0,699.31,24.29,0.3314123825317855
2011,Polaris Media ASA,Media & Publishing,1846.8,298.1,1323.4,0.0,0.0,610.66,32.88,0.35009478820275314
2012,Polaris Media ASA,Media & Publishing,1858.02,288.47,1417.22,0.0,34.76,797.11,31.88,0.14182318242680844
2013,Polaris Media ASA,Media & Publishing,1744.63,246.7,1315.09,0.0,22.15,755.99,27.09,0.2052025335853299
2014,Polaris Media ASA,Media & Publishing,1658.5,235.12,1218.52,0.0,15.48,649.55,26.6,0.28008577978259286
2015,Polaris Media ASA,Media & Publishing,1624.42,231.07,1254.71,0.0,13.39,1549.94,32.92,0.07912891853985829
2016,Polaris Media ASA,Media & Publishing,1520.74,223.49,1264.2,0.0,8.42,1386.24,33.6,0.01734702501690328
2017,Polaris Media ASA,Media & Publishing,1518.21,224.61,1132.33,0.0,8.64,1612.28,34.68,0.09267377471219701
2018,Polaris Media ASA,Media & Publishing,1524.9,228.15,1144.01,0.0,8.0,1810.14,17.86,0.07917943107221007
2019,Polaris Media ASA,Media & Publishing,2342.67,449.14,1711.03,0.0,9.09,2454.77,-0.1,0.07064493394224079
2020,Polaris Media ASA,Media & Publishing,3516.49,580.05,2518.81,0.0,17.73,3024.76,181.54,0.12472320119764202
2021,Polaris Media ASA,Media & Publishing,3684.06,528.05,2689.25,0.0,16.18,3777.35,267.77,0.11138853729926436
2022,Polaris Media ASA,Media & Publishing,3630.36,549.25,2839.75,0.0,19.16,3346.1,226.44,0.06219664440426143
2023,Polaris Media ASA,Media & Publishing,3643.67,520.29,2938.13,0.0,33.52,3312.92,148.25,0.04383777739897202
2024,Polaris Media ASA,Media & Publishing,3597.5,410.7,2918.9,0.0,24.4,3520.9,170.6,0.06596234592983884
