Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,0.06,0.0,0.0,0.0,0.0,0.0,0.0,
2005,0.11,0.0,0.0,0.0,0.0,0.0,0.0,
2006,0.06,0.0,0.0,11.98,0.02,0.0,0.0,
2007,0.06,0.0,0.0,0.0,0.0,0.0,0.0,
2008,0.0,0.0,0.0,19.84,0.09,0.0,0.0,
2009,0.13,0.37,0.0,16.64,0.13,0.0,0.0,
2010,1.09,1.8,0.0,13.88,0.17,0.0,0.0,
2011,3.1,2.14,0.0,12.34,0.24,0.0,0.0,
2012,0.13,0.67,0.0,16.69,0.15,0.0,0.0,
2013,0.16,0.55,0.0,20.04,0.05,0.0,0.0,
2014,12.07,3.36,0.0,0.0,0.14,0.0,0.0,
2015,88.54,42.12,0.0,0.0,0.5,0.0,0.0,
2016,98.45,60.84,0.0,0.0,0.63,0.0,0.0,
2017,275.01,163.64,25.18,0.0,0.4,0.0,0.0,
2018,453.19,298.55,64.75,0.0,0.57,50.2,0.0,1.7792828685258961
2019,519.05,342.37,85.81,0.0,0.91,51.65,0.0,1.741723136495643
2020,578.33,393.98,56.28,12.94,0.8,82.03,0.0,1.7092527124222845
2021,753.1,551.7,63.04,21.38,1.14,68.59,0.0,2.312290421344219
2022,914.85,584.82,0.0,73.94,0.69,119.88,0.0,3.3640306973640306
2023,1349.8,715.14,0.0,43.26,0.65,134.54,0.0,5.033967593280809
2024,1389.91,503.98,0.0,41.59,0.0,0.0,0.0,
