Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,CMB.TECH NV,Oil & Gas Related Equipment and Services,2935.55,0.0,0.0,0.0,0.0,2360.56,0.0,1.243582031382384
2005,CMB.TECH NV,Oil & Gas Related Equipment and Services,3686.37,616.24,139.25,0.0,332.12,6111.76,0.0,0.4252064871657264
2006,CMB.TECH NV,Oil & Gas Related Equipment and Services,4341.4,861.01,129.49,0.0,453.42,6372.93,0.0,0.454654295590882
2007,CMB.TECH NV,Oil & Gas Related Equipment and Services,3108.35,869.0500000000001,120.53,0.0,450.72,5350.42,0.0,0.3117605720672395
2008,CMB.TECH NV,Oil & Gas Related Equipment and Services,4834.96,1373.81,141.28,0.0,288.45,8183.83,0.0,0.37041580775749255
2009,CMB.TECH NV,Oil & Gas Related Equipment and Services,2897.38,1337.64,272.61,0.0,360.83,6208.38,0.0,0.14920156304865362
2010,CMB.TECH NV,Oil & Gas Related Equipment and Services,3171.79,1446.9,121.15,0.0,495.51,6278.86,0.0,0.17650178535594038
2011,CMB.TECH NV,Oil & Gas Related Equipment and Services,2209.95,1300.84,234.89,0.0,394.12,5862.97,0.0,0.04777442149627235
2012,CMB.TECH NV,Oil & Gas Related Equipment and Services,2388.16,2731.81,90.5,0.0,354.9,4822.95,0.0,-0.16360318891964465
2013,CMB.TECH NV,Oil & Gas Related Equipment and Services,1790.48,1213.89,160.75,0.0,289.42,4859.05,0.0,0.026017431390909725
2014,CMB.TECH NV,Oil & Gas Related Equipment and Services,2988.82,1753.35,280.98,0.0,365.4,11004.07,0.0,0.05353382884696301
2015,CMB.TECH NV,Oil & Gas Related Equipment and Services,6825.3,2022.21,372.92,0.0,308.37,16846.44,0.0,0.24466890334100264
2016,CMB.TECH NV,Oil & Gas Related Equipment and Services,5745.23,1993.86,582.5,0.0,327.51,16306.28,0.0,0.17424943028084883
2017,CMB.TECH NV,Oil & Gas Related Equipment and Services,4243.37,2013.83,614.95,0.0,317.33,15153.08,0.0,0.08561031816633978
2018,CMB.TECH NV,Oil & Gas Related Equipment and Services,4884.54,2916.95,848.6399999999999,0.0,553.2,19527.98,0.0,0.028971250482640817
2019,CMB.TECH NV,Oil & Gas Related Equipment and Services,8047.7,3200.63,554.47,0.0,741.92,20294.39,0.0,0.1749586954818548
2020,CMB.TECH NV,Oil & Gas Related Equipment and Services,11390.33,3310.48,587.5600000000001,0.0,570.55,19830.27,0.0,0.3490492060874612
2021,CMB.TECH NV,Oil & Gas Related Equipment and Services,3607.79,3001.82,475.4800000000001,0.0,498.16,17266.26,0.0,-0.021294130865630444
2022,CMB.TECH NV,Oil & Gas Related Equipment and Services,8211.17,3814.64,926.26,0.0,820.65,21292.35,0.0,0.12443999840318239
2023,CMB.TECH NV,Oil & Gas Related Equipment and Services,13032.27,3984.43,1191.31,0.0,1395.61,23892.21,0.0,0.27041952167673067
2024,CMB.TECH NV,Oil & Gas Related Equipment and Services,10101.8,4059.31,1404.4299999999998,0.0,1563.89,13551.6,0.0,0.22684922813542305
