Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,620.1,296.2,43.9,0.0,0.0,0.0,0.0,
2005,792.7,386.3,81.8,0.0,0.0,0.0,0.0,
2006,1192.5,381.1,35.0,0.0,126.3,0.0,0.0,
2007,1319.9,547.1,32.6,0.0,174.8,0.0,0.0,
2008,1362.0,745.5,33.9,0.0,194.8,0.0,0.0,
2009,869.1,659.4,196.2,0.0,113.1,0.0,0.0,
2010,1251.8,1237.4,367.8,0.0,108.3,0.0,0.0,
2011,2070.2,2205.2,254.3,0.0,141.4,0.0,0.0,
2012,3049.88,2423.62,147.11,0.0,0.0,0.0,0.0,
2013,2956.48,2448.66,407.33,0.0,121.67,0.0,0.0,
2014,2850.19,3991.52,360.05,0.0,151.34,0.0,0.0,
2015,1510.99,3176.78,373.31,0.0,238.66,0.0,0.0,
2016,1694.35,2161.18,146.93,0.0,297.23,0.0,0.0,
2017,2871.52,3342.66,319.88000000000005,0.0,300.87,0.0,0.0,
2018,6750.98,5708.16,287.37,0.0,375.28,0.0,0.0,
2019,8546.45,9526.56,403.83,0.0,783.91,0.0,0.0,
2020,5786.73,11104.8,436.66,0.0,821.57,7253.47,0.0,-0.9066419244857977
2021,8629.92,7616.6,601.62,0.0,637.73,8972.27,0.0,-0.025192063992724282
2022,13229.43,8856.12,531.2900000000001,0.0,552.43,13415.33,0.0,0.24521126204126173
2023,7043.03,7698.28,605.66,0.0,470.59,12514.82,0.0,-0.13835596516769716
2024,7163.96,8743.3,566.2,0.0,583.39,12274.96,0.0,-0.22231681406701115
