Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2009,3338.0,1532.0,0.0,0.0,58.0,1335.0,20.0,1.2900369003690038
2010,3419.0,1524.0,0.0,0.0,54.0,998.0,16.0,1.8155818540433926
2011,3810.0,1605.0,0.0,0.0,84.0,1074.0,14.0,1.9494485294117647
2012,3894.0,1666.0,321.0,0.0,71.0,1691.0,11.0,1.0787309048178613
2013,3822.0,1638.0,341.0,0.0,42.0,1847.0,9.0,0.9703663793103449
2014,3848.0,1614.0,348.0,110.0,33.0,1941.0,8.0,1.0071831708568497
2015,4075.0,1671.0,353.0,110.0,27.0,2056.0,5.0,1.0354196991751576
2016,4391.0,1686.0,333.0,107.0,22.0,2679.0,34.0,0.9056395134537413
2017,4522.0,1681.0,332.0,133.0,21.0,2889.0,107.0,0.8748331108144193
2018,4705.0,1843.0,358.0,117.0,36.0,3123.0,198.0,0.7783800060222824
2019,4951.0,1890.0,446.0,114.0,77.0,3306.0,158.0,0.7655889145496536
2020,5227.0,1921.0,443.0,100.0,79.0,3668.0,110.0,0.7633668607728957
2021,5715.0,2152.0,414.0,85.0,62.0,4222.0,84.0,0.7366465397120298
2022,6776.0,2628.0,459.0,97.0,88.0,4394.0,51.0,0.8319460067491563
2023,7024.0,2545.0,480.0,99.0,171.0,4855.0,39.0,0.8024111156518186
2024,7502.0,2732.0,560.0,121.0,193.0,5041.0,49.0,0.812966601178782
