Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2011,0.0,0.0,0.0,0.0,0.0,271.13,0.0,0.0
2012,926.73,0.0,221.75,0.0,48.67,460.73,0.0,1.4245002496038897
2013,1031.69,0.0,237.99,0.0,33.21,554.52,0.0,1.3714383611051
2014,1135.91,0.0,259.45,0.0,23.79,642.68,0.0,1.326741146449244
2015,1188.43,0.0,282.69,0.0,16.75,938.41,0.0,0.947336452083844
2016,1293.93,0.0,289.63,0.0,11.79,1002.29,0.0,0.9902423450298817
2017,1381.68,0.0,313.72,0.0,11.36,1018.52,0.0,1.0373875819816991
2018,1466.73,0.0,332.73,0.0,12.31,1090.69,0.0,1.0284223748269443
2019,2342.18,1019.79,348.15,0.0,17.94,1150.16,0.0,0.8314495374556582
2020,2994.66,1128.69,452.65,0.0,20.6,1184.6,0.0,1.1756879959479993
2021,3097.1,0.0,452.73,0.0,15.69,1262.66,0.0,2.0818589327293173
2022,3177.99,0.0,504.2,0.0,18.14,1273.38,0.0,2.0855125728376445
2023,3413.6,0.0,514.37,0.0,34.17,1315.28,0.0,2.1782890335137766
2024,3784.94,1443.22,536.6,0.0,39.77,1538.33,0.0,1.147575617715315
