Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,1250.39,658.71,352.86,0.0,63.03,606.95,115.02,0.2434865714641883
2005,1614.6,1038.43,416.74,0.0,82.86,905.01,77.03,0.07797034744002265
2006,2707.66,1501.38,418.97,0.0,94.4,3553.8,83.2,0.19051690954083028
2007,3451.99,2211.81,811.19,0.0,218.86,4141.39,87.22,0.049692452129659566
2008,4019.19,2291.77,1008.01,0.0,279.6,4628.05,991.72,0.07826120997834432
2009,11237.31,7203.02,2199.9,0.0,325.85,5515.8,1579.68,0.21260577156161373
2010,12496.53,7818.64,2385.29,0.0,283.96,6497.32,2613.54,0.2204665640784734
2011,12029.06,7440.82,2674.98,0.0,278.02,6685.75,2513.86,0.17775101335817492
2012,11004.91,7473.52,2527.29,0.0,258.61,7074.11,3045.69,0.07366647562204781
2013,12542.71,7478.86,2798.94,0.0,262.37,7656.56,3807.64,0.17467769229427255
2014,14228.43,8529.32,3298.67,0.0,244.67,8321.0,4039.0,0.17441504854368936
2015,15240.0,9373.0,3656.0,0.0,262.0,9036.0,4575.0,0.14319300565718904
2016,18905.0,10523.0,4508.0,0.0,298.0,9249.0,8965.0,0.1963324914900626
2017,20797.0,10489.0,5562.0,0.0,333.0,9787.0,9385.0,0.2301794283329856
2018,22630.0,11302.0,6296.0,0.0,334.0,11656.0,10798.0,0.20922775452035272
2019,23312.0,12564.0,6516.0,0.0,269.0,12279.0,11053.0,0.16985256300360022
2020,22435.0,13079.0,5693.0,0.0,260.0,12109.0,10882.0,0.148014440433213
2021,26571.0,14109.0,7715.0,0.0,238.0,13372.0,11815.0,0.17902092349227777
2022,31169.0,16294.0,9075.0,0.0,323.0,15322.0,12841.0,0.194475020416859
2023,33731.0,18739.0,9908.0,0.0,586.0,14827.0,12215.0,0.16633385104652024
2024,35366.0,18522.0,11050.0,0.0,765.0,17078.0,12590.0,0.16950923553997574
