Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",1423.92,892.04,307.96,0.0,4.42,506.92,19.48,0.4169832826747723
2013,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",1982.68,1352.11,436.31,0.0,5.64,647.44,21.0,0.2821794027885826
2014,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",2401.6,1763.6,580.99,0.0,14.33,590.33,6.01,0.07156990978300967
2015,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",1759.51,1239.71,560.8499999999999,0.0,16.99,451.34,57.62,-0.11403646651996219
2016,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",1994.96,1370.0,501.14,0.0,16.05,431.69,54.5,0.2216623130874762
2017,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",1314.86,846.17,474.2000000000001,0.0,14.32,380.7,100.25,-0.04123089718265966
2018,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",1964.36,1566.26,498.3,35.81,17.87,210.95,82.44,-0.2803776543167801
2019,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",2236.21,1876.73,512.21,12.67,23.81,-161.3,46.65,1.4293065852594853
2020,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",2322.58,1719.96,490.93000000000006,15.98,22.76,-78.81,47.99,-3.4039584685269255
2021,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",902.89,636.96,216.33,16.01,3.31,297.81,0.0,0.20919378126993696
2022,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",221.7,78.3,167.39,0.15,9.92,308.75,3.39,-0.10815659639905173
2023,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",659.34,275.45,369.15,0.23,19.7,285.1,5.32,-0.016286757110391552
2024,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",1060.74,529.43,490.4,0.23,19.85,317.66,-5.65,0.06823499246819043
