Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,2610.62,1546.46,615.81,0.0,182.23,956.14,0.0,0.27832744158805184
2013,3635.56,2154.13,872.0899999999999,0.0,178.12,971.09,0.0,0.44405770834835073
2014,4152.95,2423.73,1058.53,0.0,142.33,1204.6,0.0,0.4386186285904033
2015,4629.23,2569.34,753.93,0.0,0.0,1528.47,0.0,0.8544230505014816
2016,4980.63,2903.03,1149.67,0.0,39.08,1708.37,0.0,0.520291271797093
2017,5329.47,3118.35,1248.31,0.0,37.88,1764.23,0.0,0.5242683777058549
2018,5738.14,3298.3,1406.72,0.0,38.76,1788.93,0.0,0.5558406421715775
2019,6156.04,3543.73,1132.9899999999998,0.0,42.61,1977.87,0.0,0.7263925333818706
2020,7928.66,4534.13,1181.53,0.0,131.58,2213.61,0.0,0.9402830670262603
2021,8568.38,4592.14,742.75,0.0,101.55,2620.05,268.68,1.0841927075219902
2022,8928.9,4832.78,836.46,0.0,122.8,2960.52,322.08,0.9556022664960702
2023,9378.48,5275.68,848.43,0.0,159.29,3561.22,50.58,0.8569355999778503
2024,12631.97,7437.46,1288.1699999999998,0.0,183.05,4057.55,51.3,0.9061635250739255
