Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2015,Atlantic Sapphire ASA,Food & Tobacco,0.0,0.0,0.0,0.0,0.0,25.24,1.9,0.0
2016,Atlantic Sapphire ASA,Food & Tobacco,17.82,19.47,0.0,0.0,1.62,55.7,0.06,-0.05864418938307027
2017,Atlantic Sapphire ASA,Food & Tobacco,12.42,22.82,0.0,0.0,1.18,667.29,0.0,-0.01735377422110327
2018,Atlantic Sapphire ASA,Food & Tobacco,3.92,5.41,0.0,0.0,1.58,1187.29,0.0,-0.00258572042213781
2019,Atlantic Sapphire ASA,Food & Tobacco,48.74,57.91,0.0,0.0,1.44,1831.87,0.0,-0.005791895713123745
2020,Atlantic Sapphire ASA,Food & Tobacco,59.01,170.99,0.0,0.0,1.36,2191.3,0.0,-0.05172272167206681
2021,Atlantic Sapphire ASA,Food & Tobacco,144.83,563.87,65.86,0.0,22.57,2109.7,0.0,-0.24054130919088024
2022,Atlantic Sapphire ASA,Food & Tobacco,182.1,672.81,69.46,0.0,38.48,2903.51,0.0,-0.20618148379030896
2023,Atlantic Sapphire ASA,Food & Tobacco,147.67,708.43,46.89,0.0,51.97,2869.65,0.0,-0.229860784416218
2024,Atlantic Sapphire ASA,Food & Tobacco,245.16,892.76,73.53,0.0,58.98,2305.33,0.0,-0.33839406939570477
