Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2007,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,0.35,0.0,14.94,0.0,0.01,11.67,0.0,-1.2510711225364182
2008,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,1.48,0.0,11.93,0.0,0.06,4.76,0.0,-2.207983193277311
2009,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,4.46,0.0,0.0,0.0,0.0,6.15,0.0,0.7252032520325202
2010,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,0.0,0.0,11.47,0.0,0.0,15.0,0.0,-0.7646666666666667
2011,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,0.1,0.0,16.62,0.0,0.08,4.33,0.0,-3.8337182448036944
2012,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,1.95,0.0,24.14,0.0,0.01,30.15,0.0,-0.7363184079601991
2013,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,5.33,0.0,46.86,0.0,0.01,257.7,0.0,-0.16119518820333723
2014,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,11.66,0.0,182.67,0.0,0.04,271.32,0.0,-0.6304363850803478
2015,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,17.85,0.0,279.5,0.0,0.04,217.86,0.0,-1.2011842467639768
2016,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,12.26,0.0,353.91,0.0,0.03,721.15,0.0,-0.47379879359356586
2017,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,24.63,0.0,487.63,0.0,6.09,1065.88,0.0,-0.4400964461290201
2018,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,10.49,0.0,443.45,0.0,8.48,515.81,0.0,-0.8558190031213044
2019,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,6.17,0.0,281.03,0.0,13.41,-172.58,0.0,1.6703557770309418
2020,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,4.63,0.0,117.93,0.0,29.98,-402.0,0.0,0.3564179104477612
2021,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,0.0,0.0,167.86,0.0,27.49,-118.72,0.0,1.6454683288409706
2022,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,0.0,0.0,191.94,0.0,35.82,-159.15,0.0,1.4311027332704995
2023,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,1.46,0.0,140.72,0.0,36.28,-124.63,0.0,1.4084891278183422
2024,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,0.66,0.0,110.98,0.0,24.98,-39.45,0.0,3.4296577946768063
