Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,0.0,0.0,0.0,0.0,14.74,187.26,0.0,-0.07871408736516075
2005,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,137.32,0.0,0.0,0.0,425.75,1658.09,0.0,-0.173953162976678
2006,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,1909.35,0.0,0.0,0.0,418.33,8721.55,0.0,0.17095814390790628
2007,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,4526.04,417.44,260.25,0.0,754.92,10352.75,5944.53,0.18981265585422846
2008,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,462.04,0.0,64.23,0.0,63.93,108.25,299.11,0.8196190102120974
2009,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,444.36,0.0,68.41,0.0,77.21,1022.74,14.51,0.28801156905278386
2010,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,456.32,79.28,137.01,0.0,68.61,537.9,16.62,0.30913222246267036
2011,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,469.84,54.31,312.1,0.0,59.61,486.99,15.63,0.08718316024034052
2012,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,598.31,46.15,167.5,0.0,38.58,486.47,17.42,0.6868165671079004
2013,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,705.78,0.0,173.76,0.0,33.08,596.61,24.99,0.8026705276705276
2014,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,694.08,0.0,187.03,0.0,33.4,727.15,31.58,0.6242668670014367
2015,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,478.96,0.0,159.98,0.0,23.56,417.81,13.85,0.6843812259648797
2016,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,325.63,0.0,325.66,0.0,11.44,263.6,7.22,-0.04235285429436536
2017,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,325.66,0.0,279.98,0.0,3.0,280.84,6.37,0.14860206817311378
2018,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,446.29,0.0,323.83,0.0,3.33,346.05,10.87,0.333772273898913
2019,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,581.9,0.0,423.88,0.0,6.88,345.25,18.14,0.4159167836209031
2020,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,410.28,0.0,289.22,0.0,7.6,337.17,13.27,0.3237644104554273
2021,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,438.12,0.0,305.3,0.0,8.67,329.73,16.3,0.3587839204693234
2022,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,533.25,0.0,401.35,0.0,9.62,356.49,25.71,0.3199372056514913
2023,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,571.87,0.0,429.03,0.0,10.09,389.53,26.54,0.319056889465715
2024,Petrolia E&P Holdings Plc,Oil & Gas Related Equipment and Services,574.45,0.0,420.4,0.0,8.58,463.99,20.15,0.30047093815838405
