Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2000,Voss Veksel og Landmandsbank ASA,Banking Services,76.4,0.0,1.99,0.0,40.95,124.78,0.0,0.2681519474274724
2001,Voss Veksel og Landmandsbank ASA,Banking Services,92.79,0.0,1.71,0.0,53.74,134.7,0.0,0.27720861172976996
2002,Voss Veksel og Landmandsbank ASA,Banking Services,98.65,0.0,2.35,0.0,58.09,142.91,0.0,0.2673710727030999
2003,Voss Veksel og Landmandsbank ASA,Banking Services,84.16,0.0,2.26,0.0,41.36,151.64,0.0,0.26734370878396196
2004,Voss Veksel og Landmandsbank ASA,Banking Services,62.08,0.0,3.18,0.0,14.51,163.33,0.0,0.2717810567562603
2005,Voss Veksel og Landmandsbank ASA,Banking Services,66.28,0.0,2.94,0.0,14.41,177.06,0.0,0.2763470010166046
2006,Voss Veksel og Landmandsbank ASA,Banking Services,61.67,0.0,4.56,0.0,20.56,194.68,0.0,0.18774399013766177
2007,Voss Veksel og Landmandsbank ASA,Banking Services,68.26,0.0,4.36,0.0,42.31,210.35,0.0,0.10263845971000715
2008,Voss Veksel og Landmandsbank ASA,Banking Services,69.89,0.0,4.75,0.0,72.33,220.65,0.0,-0.03258554271470654
2009,Voss Veksel og Landmandsbank ASA,Banking Services,14.72,0.0,5.37,0.0,36.5,268.15,0.0,-0.10124930076449748
2010,Voss Veksel og Landmandsbank ASA,Banking Services,81.07,0.0,5.76,0.0,30.75,280.69,0.0,0.15875164772524844
2011,Voss Veksel og Landmandsbank ASA,Banking Services,68.1,0.0,6.18,0.0,69.28,293.05,0.0,-0.02511516806005803
2012,Voss Veksel og Landmandsbank ASA,Banking Services,77.27,0.0,35.15,0.0,76.52,308.05,0.0,-0.1116701834117838
2013,Voss Veksel og Landmandsbank ASA,Banking Services,77.92,0.0,13.34,0.0,76.85,328.15,0.0,-0.037391436842907196
2014,Voss Veksel og Landmandsbank ASA,Banking Services,93.23,0.0,13.11,0.0,80.88,347.88,0.0,-0.0021846613774864636
2015,Voss Veksel og Landmandsbank ASA,Banking Services,70.52,0.0,16.74,0.0,59.02,360.05,0.0,-0.014553534231356762
2016,Voss Veksel og Landmandsbank ASA,Banking Services,88.15,0.0,17.23,0.0,39.56,380.73,0.0,0.08236808236808237
2017,Voss Veksel og Landmandsbank ASA,Banking Services,82.71,0.0,18.13,0.0,43.75,398.68,0.0,0.0522474164743654
2018,Voss Veksel og Landmandsbank ASA,Banking Services,102.87,0.0,24.0,0.0,51.44,485.89,0.0,0.05645310667023402
2019,Voss Veksel og Landmandsbank ASA,Banking Services,111.35,0.0,25.55,0.0,74.87,566.59,0.0,0.019290845232001964
2020,Voss Veksel og Landmandsbank ASA,Banking Services,106.65,0.0,32.61,0.0,59.51,599.56,0.0,0.0242344385882981
2021,Voss Veksel og Landmandsbank ASA,Banking Services,109.71,0.0,26.93,0.0,34.65,621.46,0.0,0.07744665787017668
2022,Voss Veksel og Landmandsbank ASA,Banking Services,131.97,0.0,33.96,0.0,65.45,693.61,0.09,0.0469367161597232
2023,Voss Veksel og Landmandsbank ASA,Banking Services,175.67,0.0,37.58,0.0,162.4,724.1,0.42,-0.03355324904764538
2024,Voss Veksel og Landmandsbank ASA,Banking Services,191.73,0.0,34.83,0.0,209.61,775.64,0.76,-0.06789026275115924
