Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2006,0.0,0.0,30.63,0.0,1.84,974.0,0.0,-0.03333675564681725
2007,0.0,0.0,8.64,0.0,0.0,864.28,0.0,-0.00999676030915907
2008,326.76,125.66,15.57,0.0,44.93,3691.22,0.0,0.038090387459972584
2009,255.14,144.4,91.44,0.0,26.1,3850.52,0.0,-0.0017659952422010583
2010,362.12,154.96,69.16999999999999,0.0,218.65,3160.17,0.0,-0.02552394333216251
2011,361.77,181.89,123.58,34.6,305.97,3676.55,0.0,-0.05849777644802873
2012,325.09,210.96,82.8,20.54,128.25,3736.18,0.0,-0.020443340524278816
2013,933.27,249.65,159.8,0.0,301.87,3179.35,0.0,0.06980986679667225
2014,2597.94,420.93,562.81,0.0,528.7,4869.22,0.0,0.22293098278574394
2015,9342.34,1136.87,416.11,153.85,879.86,2996.92,0.0,2.356869719578768
2016,10585.96,1904.41,184.66,0.0,689.84,21153.8,0.0,0.36906135067931056
2017,21289.71,4326.12,228.18,0.0,856.55,24527.41,0.0,0.6473924478777009
2018,30226.13,5646.18,138.69,0.0,977.14,25713.43,0.0,0.9125239223238596
2019,29373.85,6337.44,310.82,0.0,673.82,20783.61,0.0,1.0610173112370758
2020,26991.74,5909.78,465.43,0.0,1709.73,17046.7,0.0,1.109117893785894
2021,48473.91,6405.73,251.49,0.0,1199.24,19346.68,0.0,2.099453239522234
2022,123899.15,8962.48,505.13,0.0,1034.89,121746.06,0.0,0.9314194644163433
2023,143287.45,11185.5,609.87,0.0,1707.21,125292.13,0.0,1.0358581181435738
2024,131532.98,9845.61,574.79,0.0,1026.03,144243.24,0.0,0.8325280962906825
