Ticker,YahooTicker,MonthsCompared,FirstMonth,LastMonth,Correlation,MeanAbsDiffBps,MedianAbsDiffBps,P95AbsDiffBps,MaxAbsDiffBps,AlertMonths,DividendMonths
MOWI.OL,MOWI.OL,194,2010-02-28,2026-03-31,0.9979875108574858,16.257936051849704,0.001667426079432488,130.13332496346624,337.98063648874165,18,53
EQNR.OL,EQNR.OL,194,2010-02-28,2026-03-31,0.9988874008316629,6.458752484230499,0.001962904440100388,16.397385974512513,282.8679704325876,3,52
VOLVb.ST,VOLV-B.ST,194,2010-02-28,2026-03-31,0.9988204969278905,6.060002025320398,0.0009290622382529534,19.888739660036897,436.0297416182701,3,15
AAK.ST,AAK.ST,194,2010-02-28,2026-03-31,0.9978579377286962,6.026917973011638,0.0007272845170547271,6.193120101981918,373.7687797711642,4,16
NOKIA.HE,NOKIA.HE,194,2010-02-28,2026-03-31,0.9993891510663357,5.78703535829426,0.0012082934214285856,6.957276013009987,447.1014492227221,4,26
AFAGR.HE,AFAGR.HE,194,2010-02-28,2026-03-31,0.9999125568283344,5.013953551071413,0.006851529759654973,1.3217267531023167,279.6422968554813,4,9
NOVOb.CO,NOVO-B.CO,194,2010-02-28,2026-03-31,0.9999336684905097,1.676947266319551,0.001307392265559315,5.987903659086185,83.58089569946436,0,27
DSV.CO,DSV.CO,194,2010-02-28,2026-03-31,0.9999806666734457,0.7680280935486614,0.0009352563745679277,2.500072044920084,39.65022800984652,0,17
