Year,n_obs,r2,adj_r2,coef_const,coef_CFO_t-1,coef_CFO_t,coef_dREV,coef_PPE,t_CFO_t-1,t_CFO_t,t_dREV,t_PPE,p_CFO_t-1,p_CFO_t,p_dREV,p_PPE
1998,21,0.21668142776995802,0.02085178471244753,0.066277512947318,1.6611839463620357,-0.6957012643946586,0.0024600670560109006,-0.038833562025033956,1.9460835227144349,-0.8752206487371548,0.012967535605914602,-0.23422462368799468,0.05164470753115477,0.38145386011117066,0.9896536935164668,0.8148105997031074
1999,31,0.2625402471277566,0.14908490053202694,0.04375085067346897,0.24998179289464667,-0.4706037438478022,0.12139457910704275,-0.035881457405352216,0.9456402235442997,-1.0814082120769897,0.7178891696150346,-0.7933220828543958,0.34433212091549414,0.27951557030942187,0.4728256262798758,0.4275901940358907
2000,35,0.23675361903994574,0.13498743491193854,0.030226296980598692,-0.5762549383347559,0.8233347510315955,0.09760406208545391,-0.0012548700174826598,-1.3164609303348032,1.3621330353011,1.2019380193991975,-0.07092028307174238,0.18801938342858682,0.17315590439261896,0.2293875427690124,0.9434612004637282
2001,37,0.1144366075146841,0.0037411834540196365,-0.05285764986004361,0.3580928566132045,-0.2458707021862938,0.01684204283557492,0.01925305783781864,1.455956555241596,-1.281286735881978,0.38527848589571706,0.6511819209841756,0.14540462988442968,0.20009297010278904,0.7000310993311081,0.5149290593577618
2002,40,0.6510325358849876,0.611150539986129,-0.10319184925099364,-0.9464953361638351,1.4235018775863066,-0.21001897479927417,0.04306096393223208,-1.1339068415321858,1.4293330868077945,-0.7674381211466775,1.0825782568109028,0.2568336270164906,0.1529085205166744,0.44282107056378794,0.27899566263918363
2003,45,0.01662370528113799,-0.0817139241907483,0.05246121556122635,-0.015428286429115205,-0.003916616053126161,0.009588278407048574,-0.023308021163727093,-0.051090780401012025,-0.01254337550405296,0.07306269217637573,-1.0957050751645234,0.9592531825738574,0.9899920967800103,0.9417562296106236,0.2732078609822408
2004,66,0.1286925442175817,0.0715576290843083,0.046392335982130495,0.2309043340780512,-0.11129848062874714,0.0892885630413013,-0.07838673071532729,0.8392306224014486,-0.3730365404342609,1.4190017365007164,-1.4048744731043004,0.4013399063999451,0.7091212483172147,0.155898509801594,0.16005860853635412
2005,279,0.013174029118634412,-0.0012321894343783057,0.011284531552245595,-0.07538979363925499,-0.02538521751135913,0.010388571841064377,-0.00016479082062970584,-0.6282277567001975,-0.262098388769706,0.2359189300051832,-0.018300192820072534,0.5298547496270447,0.7932455889486363,0.8134955787901563,0.9853993736448304
2006,320,0.11544141216441417,0.10420892216015276,-0.00522532333170724,0.25565673000093997,-0.07177589252198147,0.11552586003341919,0.02688385073920779,1.4768732622865681,-0.5140999089454383,1.8083557073016865,1.1524123558717576,0.13970961338077795,0.6071821410782731,0.07055115685565085,0.2491516660320443
2007,330,0.048942097167783305,0.037236769132925174,0.007278964386897972,0.17755329945314424,-0.2062978153323614,0.11718010801424905,-0.031044171587818976,1.4509287785134302,-1.8931190520344578,2.76251689427539,-0.7762840727277327,0.14679969335131124,0.058342039066982314,0.0057357593316115394,0.4375812751270155
