Method,Portfolio,mean_excess_ann,volatility_ann,sharpe_ratio,max_drawdown
Method1_Raw,Q1,0.04170702878307127,0.18261254700093357,0.2283908168854249,-0.34223235511809286
Method1_Raw,Q2,0.03407379106575103,0.16672504298835694,0.20437116377370215,-0.422346103688706
Method1_Raw,Q3,0.07493817064485604,0.13969943022181036,0.5364243112936937,-0.2928738832683034
Method1_Raw,Q4,0.07893355336553659,0.1443736101594948,0.5467311739197753,-0.290700861221453
Method1_Raw,Q5,0.07240244740891387,0.12772100976216366,0.5668796977391461,-0.2325769750176624
Method2_PostMean,Q1,0.05602875570967298,0.17752513314476023,0.31561027285069077,-0.3425100581241666
Method2_PostMean,Q2,0.01356580066055374,0.16803709709958692,0.08073098675653739,-0.4627353439236744
Method2_PostMean,Q3,0.08539343767055294,0.14484581654954698,0.589547145404387,-0.26437244045629843
Method2_PostMean,Q4,0.08704261781350986,0.1429706771907839,0.60881447527424,-0.2870669690321161
Method2_PostMean,Q5,0.0676973340010745,0.12984835306281162,0.5213568936706284,-0.23043111629731974
Method3_ProbQ5,Q1,0.0710643297622616,0.1442897180752815,0.4925113910416306,-0.2561772488740622
Method3_ProbQ5,Q2,0.037642039238858935,0.16201050760861518,0.23234319671286097,-0.2939013099336099
Method3_ProbQ5,Q3,0.05892431115595931,0.15916512409757644,0.37020868415769065,-0.36401722334297554
Method3_ProbQ5,Q4,0.08259755916986097,0.153015460907586,0.5397987803320472,-0.3024454341689195
Method3_ProbQ5,Q5,0.07170837205010219,0.12722632807140943,0.5636284025257241,-0.23131052411785857
