PortfolioStrategy,FactorModel,Method,MethodLabel,alpha_annualized,alpha_monthly
LongShort,CAPM,Method1_ObservedQuality,Observed Quality,0.01592902614208338,0.0013274188451736148
LongShort,CAPM,Method2_LatentQuality,Latent Quality,0.016004311630648263,0.0013336926358873552
LongShort,CAPM,Method3_ConservativeQuality,Conservative Quality,0.01967133853138202,0.0016392782109485014
LongShort,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.01910950739037577,0.0015924589491979808
LongShort,FF3,Method1_ObservedQuality,Observed Quality,0.027784641564477096,0.002315386797039758
LongShort,FF3,Method2_LatentQuality,Latent Quality,0.027200061483340077,0.0022666717902783398
LongShort,FF3,Method3_ConservativeQuality,Conservative Quality,0.03110839654360428,0.00259236637863369
LongShort,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.030877634086882016,0.002573136173906835
LongShort,FF3+MOM,Method1_ObservedQuality,Observed Quality,-0.001762318224512299,-0.00014685985204269158
LongShort,FF3+MOM,Method2_LatentQuality,Latent Quality,0.0068783994028620895,0.0005731999502385075
LongShort,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,-0.0004587822475858674,-3.8231853965488954e-05
LongShort,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.0005860305420506849,4.883587850422374e-05
LongShort,FF5,Method1_ObservedQuality,Observed Quality,-0.029752045057019085,-0.0024793370880849238
LongShort,FF5,Method2_LatentQuality,Latent Quality,-0.03145221157332638,-0.0026210176311105317
LongShort,FF5,Method3_ConservativeQuality,Conservative Quality,-0.028199936054553905,-0.0023499946712128256
LongShort,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,-0.027318198608585847,-0.0022765165507154872
LongShort,FF5+MOM,Method1_ObservedQuality,Observed Quality,-0.03692374570127801,-0.003076978808439834
LongShort,FF5+MOM,Method2_LatentQuality,Latent Quality,-0.02890381307067122,-0.0024086510892226015
LongShort,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,-0.037376230827826144,-0.0031146859023188454
LongShort,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,-0.03520638917024721,-0.002933865764187267
Q5,CAPM,Method1_ObservedQuality,Observed Quality,0.006892556839067943,0.0005743797365889953
Q5,CAPM,Method2_LatentQuality,Latent Quality,0.006224930990814481,0.00051874424923454
Q5,CAPM,Method3_ConservativeQuality,Conservative Quality,0.005749101249809662,0.0004790917708174718
Q5,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.006992385349874043,0.0005826987791561702
Q5,FF3,Method1_ObservedQuality,Observed Quality,0.012603587327722742,0.0010502989439768952
Q5,FF3,Method2_LatentQuality,Latent Quality,0.011727156208633002,0.0009772630173860836
Q5,FF3,Method3_ConservativeQuality,Conservative Quality,0.011253101983894748,0.0009377584986578957
Q5,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.012764548071904556,0.0010637123393253797
Q5,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.007611687520102909,0.0006343072933419091
Q5,FF3+MOM,Method2_LatentQuality,Latent Quality,0.0081958864653917,0.0006829905387826416
Q5,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,0.006691217738113581,0.0005576014781761317
Q5,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.007783039113523742,0.0006485865927936452
Q5,FF5,Method1_ObservedQuality,Observed Quality,-0.00119617570033378,-9.968130836114833e-05
Q5,FF5,Method2_LatentQuality,Latent Quality,-0.001340765788210861,-0.00011173048235090508
Q5,FF5,Method3_ConservativeQuality,Conservative Quality,-0.002294016394253327,-0.0001911680328544439
Q5,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,-0.0012256207846309212,-0.00010213506538591009
Q5,FF5+MOM,Method1_ObservedQuality,Observed Quality,-0.0020149277673610555,-0.00016791064728008796
Q5,FF5+MOM,Method2_LatentQuality,Latent Quality,-0.0010926193737553632,-9.10516144796136e-05
Q5,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,-0.002950892936693536,-0.00024590774472446137
Q5,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,-0.0020049840843477267,-0.00016708200702897724
