Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,cash_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Method1_ObservedQuality,Q1,2010-07-31,59,0.9999999999999998,1.0,0.5217214655956409,0.10000000000000002,0.0,0.4,4,2,False
Method1_ObservedQuality,Q2,2010-07-31,60,1.0,1.0,0.2712814659495888,0.1,0.0,0.4,4,2,False
Method1_ObservedQuality,Q3,2010-07-31,60,0.9999999999999999,1.0000000000000002,0.2153095620421448,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q4,2010-07-31,60,0.9999999999999999,1.0,0.29962835808274957,0.1,0.0,0.36901109433104584,4,2,False
Method1_ObservedQuality,Q5,2010-07-31,61,1.0000000000000002,1.0,0.20148973365257652,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-07-31,58,1.0,1.0,0.4015592879989663,0.1,0.0,0.4,4,3,False
Method2_LatentQuality,Q2,2010-07-31,61,1.0,1.0,0.24560058872147686,0.10000000000000002,0.0,0.4,4,4,False
Method2_LatentQuality,Q3,2010-07-31,60,1.0,1.0,0.20907827573178558,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q4,2010-07-31,61,1.0000000000000002,0.9999999999999999,0.2353609765332616,0.1,0.0,0.3784901903493163,4,1,False
Method2_LatentQuality,Q5,2010-07-31,60,0.9999999999999998,0.9999999999999999,0.18133843998683538,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-07-31,60,1.0,1.0,0.5834436240242744,0.10000000000000002,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q2,2010-07-31,60,1.0,1.0,0.25389971865216904,0.1,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q3,2010-07-31,60,0.9999999999999999,1.0000000000000002,0.39985425579716655,0.1,0.0,0.37547491601750616,4,1,False
Method3_ConservativeQuality,Q4,2010-07-31,60,1.0,1.0,0.181097973328428,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-07-31,60,1.0,0.9999999999999999,0.1813235032441182,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-07-31,58,1.0,1.0,0.5251960751119189,0.10000000000000002,0.0,0.4,4,2,False
Method4_ProbabilisticQuality,Q5,2010-07-31,60,1.0,1.0,0.2016810541989325,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-08-31,60,1.0,1.0,0.5258541337796894,0.10000000000000002,0.0,0.4,4,2,False
Method1_ObservedQuality,Q2,2010-08-31,61,1.0,1.0,0.2641444881109052,0.1,0.0,0.4,4,3,False
Method1_ObservedQuality,Q3,2010-08-31,60,1.0,1.0,0.20468829489439472,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q4,2010-08-31,60,1.0,0.9999999999999999,0.27754540023870145,0.1,0.0,0.4000000000000001,5,2,False
Method1_ObservedQuality,Q5,2010-08-31,61,1.0000000000000002,1.0,0.19741828996520613,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-08-31,59,1.0,1.0,0.4071620716595313,0.1,0.0,0.4,4,3,False
Method2_LatentQuality,Q2,2010-08-31,62,1.0,1.0,0.2229199154265397,0.10000000000000002,0.0,0.4,4,4,False
Method2_LatentQuality,Q3,2010-08-31,60,0.9999999999999999,1.0,0.19882515119302385,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q4,2010-08-31,61,0.9999999999999998,0.9999999999999999,0.22620845380205337,0.1,0.0,0.4,5,1,False
Method2_LatentQuality,Q5,2010-08-31,60,0.9999999999999999,1.0,0.17948438800476063,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-08-31,61,1.0000000000000002,1.0,0.5860128059225851,0.10000000000000002,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q2,2010-08-31,60,0.9999999999999999,1.0,0.24846530320418267,0.1,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q3,2010-08-31,61,1.0,1.0000000000000002,0.3861909406714168,0.1,0.0,0.36680291180846825,4,2,False
Method3_ConservativeQuality,Q4,2010-08-31,60,1.0,1.0,0.18089791842046965,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-08-31,60,1.0000000000000002,1.0,0.1794700282186141,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-08-31,59,0.9999999999999997,1.0,0.5291801386758878,0.10000000000000002,0.0,0.4,4,2,False
Method4_ProbabilisticQuality,Q5,2010-08-31,60,1.0,1.0,0.19767485906043097,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-09-30,60,1.0,1.0,0.5203403324331115,0.10000000000000002,0.0,0.4,4,2,False
