Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Method1_ObservedQuality,Q1,2010-07-31,61,1.0,1.0,0.4462030913747095,0.1,0.4,4,3,False
Method1_ObservedQuality,Q2,2010-07-31,58,1.0,1.0,0.4196419697127013,0.1,0.3882952594351059,4,1,False
Method1_ObservedQuality,Q3,2010-07-31,57,1.0,1.0,0.202315229626636,0.1,0.4,4,4,False
Method1_ObservedQuality,Q4,2010-07-31,59,1.0,0.9999999999999999,0.10335871587371434,0.0973786380065722,0.37301642565018306,4,2,False
Method1_ObservedQuality,Q5,2010-07-31,62,1.0,1.0,0.18007663304930277,0.1,0.4,4,4,False
Method2_LatentQuality,Q1,2010-07-31,61,1.0,1.0,0.4399793595870009,0.1,0.4,4,3,False
Method2_LatentQuality,Q2,2010-07-31,57,1.0,0.9999999999999999,0.3560150023055035,0.10000000000000002,0.4,4,2,False
Method2_LatentQuality,Q3,2010-07-31,58,0.9999999999999999,1.0,0.22784596173531488,0.1,0.4,4,3,False
Method2_LatentQuality,Q4,2010-07-31,58,0.9999999999999999,1.0000000000000002,0.11477039474495687,0.1,0.3977719231186201,4,2,False
Method2_LatentQuality,Q5,2010-07-31,63,1.0,1.0,0.17684107450111405,0.1,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-07-31,61,1.0,1.0,0.4462030913747095,0.1,0.4,4,3,False
Method3_ConservativeQuality,Q2,2010-07-31,58,0.9999999999999999,1.0,0.15434007227060137,0.1,0.382801082462053,4,2,False
Method3_ConservativeQuality,Q3,2010-07-31,57,1.0,1.0,0.18956465408573106,0.1,0.4,4,4,False
Method3_ConservativeQuality,Q4,2010-07-31,59,1.0000000000000002,1.0,0.10426469301897906,0.09790263248257544,0.3749299388939775,4,2,False
Method3_ConservativeQuality,Q5,2010-07-31,62,1.0,1.0,0.18007663304930277,0.1,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-07-31,54,1.0,1.0,0.4761775101965068,0.1,0.4,4,3,False
Method4_ProbabilisticQuality,Q5,2010-07-31,55,0.9999999999999998,1.0,0.18021224478569564,0.1,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-08-31,63,0.9999999999999999,1.0,0.4501739684916468,0.1,0.4,4,3,False
Method1_ObservedQuality,Q2,2010-08-31,58,1.0,1.0,0.40094796185891096,0.1,0.38231206085724934,4,1,False
Method1_ObservedQuality,Q3,2010-08-31,57,1.0,1.0,0.19886027757486205,0.1,0.4,4,3,False
Method1_ObservedQuality,Q4,2010-08-31,59,1.0000000000000002,1.0,0.10330112523576983,0.09720487117870073,0.3702433201823919,4,1,False
Method1_ObservedQuality,Q5,2010-08-31,62,1.0000000000000002,1.0,0.17811784335951147,0.1,0.4,4,4,False
Method2_LatentQuality,Q1,2010-08-31,63,1.0,1.0,0.444054469023123,0.1,0.4,4,3,False
Method2_LatentQuality,Q2,2010-08-31,57,0.9999999999999999,0.9999999999999999,0.3437689998964987,0.10000000000000002,0.4000000000000001,4,2,False
Method2_LatentQuality,Q3,2010-08-31,58,0.9999999999999999,1.0,0.22164261110196712,0.1,0.4,4,3,False
Method2_LatentQuality,Q4,2010-08-31,58,0.9999999999999999,1.0,0.11447612300427691,0.1,0.3999301311247695,4,2,False
Method2_LatentQuality,Q5,2010-08-31,63,0.9999999999999998,1.0,0.17494662316939946,0.1,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-08-31,63,0.9999999999999999,1.0,0.4501739684916468,0.1,0.4,4,3,False
Method3_ConservativeQuality,Q2,2010-08-31,58,1.0,1.0,0.16478176118156407,0.1,0.3861972481261714,4,2,False
Method3_ConservativeQuality,Q3,2010-08-31,57,1.0,1.0,0.17961887526849818,0.1,0.4,4,4,False
Method3_ConservativeQuality,Q4,2010-08-31,59,1.0000000000000002,1.0000000000000002,0.10421247212609483,0.0979428524776235,0.37290483335728253,4,1,False
Method3_ConservativeQuality,Q5,2010-08-31,62,1.0000000000000002,1.0,0.17811784335951147,0.1,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-08-31,55,0.9999999999999999,1.0,0.4808645269843036,0.1,0.4,4,3,False
Method4_ProbabilisticQuality,Q5,2010-08-31,55,0.9999999999999999,1.0,0.17821514270846484,0.1,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-09-30,62,0.9999999999999998,1.0,0.4495001086118303,0.1,0.4,4,3,False
