FormationYear,Sector,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_theta_conservative,avg_p_q5,avg_p_q1,avg_sigma_acc
2010,Communication Services,Method1_ObservedQuality,1,Q1,4,23014.5,-0.30809904684866907,-0.2803504963017814,-0.32123085349138913,0.0371482439217277,0.3448925175077029,0.10469969824604602
2010,Communication Services,Method1_ObservedQuality,2,Q2,4,14201.98,0.1325051395803385,0.13006122172819792,0.11576632109619792,0.1036612708198762,0.13884580237616514,0.13092397204981487
2010,Communication Services,Method1_ObservedQuality,3,Q3,4,503467.5,0.1707963635927158,0.1706991560120045,0.17042913941567758,2.6549573650669345e-10,1.853766012722233e-12,0.01902939501259025
2010,Communication Services,Method1_ObservedQuality,4,Q4,4,23528.69,0.25528897168231535,0.24909872731625718,0.24549875150112643,0.2080235022482718,0.029997903332066866,0.0969312839615658
2010,Communication Services,Method1_ObservedQuality,5,Q5,4,459097.23,0.686028438263281,0.6618245627179217,0.6772142752213134,0.8522079011837324,0.00013545057623992683,0.09209245006379772
2010,Communication Services,Method2_LatentQuality,1,Q1,4,23014.5,-0.30809904684866907,-0.2803504963017814,-0.32123085349138913,0.0371482439217277,0.3448925175077029,0.10469969824604602
2010,Communication Services,Method2_LatentQuality,2,Q2,4,14201.98,0.1325051395803385,0.13006122172819792,0.11576632109619792,0.1036612708198762,0.13884580237616514,0.13092397204981487
2010,Communication Services,Method2_LatentQuality,3,Q3,4,503467.5,0.1707963635927158,0.1706991560120045,0.17042913941567758,2.6549573650669345e-10,1.853766012722233e-12,0.01902939501259025
2010,Communication Services,Method2_LatentQuality,4,Q4,4,23528.69,0.25528897168231535,0.24909872731625718,0.24549875150112643,0.2080235022482718,0.029997903332066866,0.0969312839615658
2010,Communication Services,Method2_LatentQuality,5,Q5,4,459097.23,0.686028438263281,0.6618245627179217,0.6772142752213134,0.8522079011837324,0.00013545057623992683,0.09209245006379772
2010,Communication Services,Method3_ConservativeQuality,1,Q1,4,23014.5,-0.30809904684866907,-0.2803504963017814,-0.32123085349138913,0.0371482439217277,0.3448925175077029,0.10469969824604602
2010,Communication Services,Method3_ConservativeQuality,2,Q2,4,14201.98,0.1325051395803385,0.13006122172819792,0.11576632109619792,0.1036612708198762,0.13884580237616514,0.13092397204981487
2010,Communication Services,Method3_ConservativeQuality,3,Q3,4,503467.5,0.1707963635927158,0.1706991560120045,0.17042913941567758,2.6549573650669345e-10,1.853766012722233e-12,0.01902939501259025
2010,Communication Services,Method3_ConservativeQuality,4,Q4,4,23528.69,0.25528897168231535,0.24909872731625718,0.24549875150112643,0.2080235022482718,0.029997903332066866,0.0969312839615658
2010,Communication Services,Method3_ConservativeQuality,5,Q5,4,459097.23,0.686028438263281,0.6618245627179217,0.6772142752213134,0.8522079011837324,0.00013545057623992683,0.09209245006379772
2010,Communication Services,Method4_ProbabilisticQuality,1,Q1,4,3982.51,-0.2750236755254313,-0.24981740891718374,-0.3004182064762542,0.1264265748028936,0.42661854568705465,0.17133745427911412
2010,Communication Services,Method4_ProbabilisticQuality,5,Q5,4,459097.23,0.686028438263281,0.6618245627179217,0.6772142752213134,0.8522079011837324,0.00013545057623992683,0.09209245006379772
2010,Consumer Discretionary,Method1_ObservedQuality,1,Q1,7,3902.3,-0.2991970619419858,-0.2365844026748894,-0.3197947142543255,0.009007762120588863,0.7369102860152769,0.1434549651711557
2010,Consumer Discretionary,Method1_ObservedQuality,2,Q2,6,25923.479999999996,0.074951310673318,0.07717537994194494,0.05887231849029751,0.07034974585793136,0.21896280426597284,0.12696405249561357
2010,Consumer Discretionary,Method1_ObservedQuality,3,Q3,6,16978.06,0.15669103046638153,0.1548394163816176,0.14930916352289206,0.06122219390565095,0.05214284776091924,0.08143172664482741
2010,Consumer Discretionary,Method1_ObservedQuality,4,Q4,6,58884.84,0.2762200824461221,0.26987558839528814,0.26868605792172595,0.23541686120384253,0.01206961452938414,0.08356319686027992
2010,Consumer Discretionary,Method1_ObservedQuality,5,Q5,7,252410.86,0.6125897512451951,0.5692360046452742,0.5959452849182048,0.8103560461751222,0.004235657683899553,0.133600180932495
2010,Consumer Discretionary,Method2_LatentQuality,1,Q1,7,3902.3,-0.2991970619419858,-0.2365844026748894,-0.3197947142543255,0.009007762120588863,0.7369102860152769,0.1434549651711557
2010,Consumer Discretionary,Method2_LatentQuality,2,Q2,6,25923.479999999996,0.074951310673318,0.07717537994194494,0.05887231849029751,0.07034974585793136,0.21896280426597284,0.12696405249561357
2010,Consumer Discretionary,Method2_LatentQuality,3,Q3,6,16978.06,0.15669103046638153,0.1548394163816176,0.14930916352289206,0.06122219390565095,0.05214284776091924,0.08143172664482741
2010,Consumer Discretionary,Method2_LatentQuality,4,Q4,6,58884.84,0.2762200824461221,0.26987558839528814,0.26868605792172595,0.23541686120384253,0.01206961452938414,0.08356319686027992
2010,Consumer Discretionary,Method2_LatentQuality,5,Q5,7,252410.86,0.6125897512451951,0.5692360046452742,0.5959452849182048,0.8103560461751222,0.004235657683899553,0.133600180932495
2010,Consumer Discretionary,Method3_ConservativeQuality,1,Q1,7,3902.3,-0.2991970619419858,-0.2365844026748894,-0.3197947142543255,0.009007762120588863,0.7369102860152769,0.1434549651711557
2010,Consumer Discretionary,Method3_ConservativeQuality,2,Q2,6,25923.479999999996,0.074951310673318,0.07717537994194494,0.05887231849029751,0.07034974585793136,0.21896280426597284,0.12696405249561357
2010,Consumer Discretionary,Method3_ConservativeQuality,3,Q3,6,16978.06,0.15669103046638153,0.1548394163816176,0.14930916352289206,0.06122219390565095,0.05214284776091924,0.08143172664482741
2010,Consumer Discretionary,Method3_ConservativeQuality,4,Q4,6,58884.84,0.2762200824461221,0.26987558839528814,0.26868605792172595,0.23541686120384253,0.01206961452938414,0.08356319686027992
2010,Consumer Discretionary,Method3_ConservativeQuality,5,Q5,7,252410.86,0.6125897512451951,0.5692360046452742,0.5959452849182048,0.8103560461751222,0.004235657683899553,0.133600180932495
2010,Consumer Discretionary,Method4_ProbabilisticQuality,1,Q1,6,3188.23,-0.34395010610856586,-0.27135720080592957,-0.3673561248067472,0.010508260633974883,0.7848893543247977,0.1568267218323928
2010,Consumer Discretionary,Method4_ProbabilisticQuality,5,Q5,6,248539.53,0.6552114153489048,0.6061528331707905,0.6370508834124385,0.8601232166059868,0.004841730871121678,0.14076503172961438
2010,Consumer Staples,Method1_ObservedQuality,1,Q1,5,70140.03,-0.11383495459128823,-0.10302460218969897,-0.1250191109543511,0.010595332779185673,0.6573244603948504,0.10458318572776107
2010,Consumer Staples,Method1_ObservedQuality,2,Q2,5,101605.21,0.06428889168827871,0.06796322204245242,0.04512889205181586,0.06905529266667465,0.25339550037378666,0.13766041017550326
2010,Consumer Staples,Method1_ObservedQuality,3,Q3,4,13869.34,0.12798932267940957,0.12750449818409776,0.11288056464472393,0.0828089774435285,0.1282199383590549,0.11789169691123648
2010,Consumer Staples,Method1_ObservedQuality,4,Q4,5,42614.24,0.23468998053793827,0.22916077345828087,0.22506630881389295,0.15573974722577658,0.03975334161131046,0.09349490439123867
2010,Consumer Staples,Method1_ObservedQuality,5,Q5,5,22396.22,0.3591839193791583,0.33217037006897654,0.3377544722204416,0.4952944649301668,0.03201052030208567,0.1480139863906676
2010,Consumer Staples,Method2_LatentQuality,1,Q1,5,70140.03,-0.11383495459128823,-0.10302460218969897,-0.1250191109543511,0.010595332779185673,0.6573244603948504,0.10458318572776107
2010,Consumer Staples,Method2_LatentQuality,2,Q2,5,101605.21,0.06428889168827871,0.06796322204245242,0.04512889205181586,0.06905529266667465,0.25339550037378666,0.13766041017550326
2010,Consumer Staples,Method2_LatentQuality,3,Q3,4,13869.34,0.12798932267940957,0.12750449818409776,0.11288056464472393,0.0828089774435285,0.1282199383590549,0.11789169691123648
2010,Consumer Staples,Method2_LatentQuality,4,Q4,5,42614.24,0.23468998053793827,0.22916077345828087,0.22506630881389295,0.15573974722577658,0.03975334161131046,0.09349490439123867
2010,Consumer Staples,Method2_LatentQuality,5,Q5,5,22396.22,0.3591839193791583,0.33217037006897654,0.3377544722204416,0.4952944649301668,0.03201052030208567,0.1480139863906676
2010,Consumer Staples,Method3_ConservativeQuality,1,Q1,5,70140.03,-0.11383495459128823,-0.10302460218969897,-0.1250191109543511,0.010595332779185673,0.6573244603948504,0.10458318572776107
2010,Consumer Staples,Method3_ConservativeQuality,2,Q2,5,97377.38,0.06600102518912658,0.0699343005324541,0.04090243716267722,0.10259328518876472,0.2993764743882309,0.16601306248106779
2010,Consumer Staples,Method3_ConservativeQuality,3,Q3,4,21257.22,0.12876657536239774,0.12709360476785708,0.11779749185098047,0.07587332806359293,0.0994918772917755,0.10385714704242795
2010,Consumer Staples,Method3_ConservativeQuality,4,Q4,5,39454.19,0.2323560448906999,0.22751840970127177,0.22535922193802635,0.12775027420763496,0.016754816450689776,0.07636989198072094
2010,Consumer Staples,Method3_ConservativeQuality,5,Q5,5,22396.22,0.3591839193791583,0.33217037006897654,0.3377544722204416,0.4952944649301668,0.03201052030208567,0.1480139863906676
2010,Consumer Staples,Method4_ProbabilisticQuality,1,Q1,4,69441.02,-0.13922079676760976,-0.12682310080599712,-0.15144987014655087,0.012988195006487017,0.7212154247027653,0.1089378900954852
2010,Consumer Staples,Method4_ProbabilisticQuality,5,Q5,4,20697.47,0.3795788417471009,0.3469225293865472,0.35415877863105305,0.5603382065357159,0.03972658799624739,0.1658422077231439
2010,Energy,Method1_ObservedQuality,1,Q1,5,5556.37,-0.8776199732072921,-0.7183307305906839,-0.8926350879127243,4.356301830377162e-09,0.9954254166109328,0.1114636860087451
2010,Energy,Method1_ObservedQuality,2,Q2,4,11423.51,-0.08941441833670448,-0.07027425008195648,-0.10818718831511107,0.013551922700054675,0.6003155897683587,0.14578200480949421
2010,Energy,Method1_ObservedQuality,3,Q3,5,85212.71,0.02499330503266992,0.028221801625141117,0.016348449930092702,0.02422575169933779,0.3061257474219868,0.08957132966114385
2010,Energy,Method1_ObservedQuality,4,Q4,4,54889.19,0.18096636419185574,0.17820228475827737,0.16847998420605426,0.1261485385957694,0.09282994427873213,0.11405932787898362
2010,Energy,Method1_ObservedQuality,5,Q5,5,490243.49999999994,0.4746852027362657,0.45163018151280354,0.4631675792200549,0.6347024736734063,0.0023074687925443305,0.10917898590376507
2010,Energy,Method2_LatentQuality,1,Q1,5,5556.37,-0.8776199732072921,-0.7183307305906839,-0.8926350879127243,4.356301830377162e-09,0.9954254166109328,0.1114636860087451
2010,Energy,Method2_LatentQuality,2,Q2,4,11423.51,-0.08941441833670448,-0.07027425008195648,-0.10818718831511107,0.013551922700054675,0.6003155897683587,0.14578200480949421
2010,Energy,Method2_LatentQuality,3,Q3,5,85212.71,0.02499330503266992,0.028221801625141117,0.016348449930092702,0.02422575169933779,0.3061257474219868,0.08957132966114385
2010,Energy,Method2_LatentQuality,4,Q4,4,54889.19,0.18096636419185574,0.17820228475827737,0.16847998420605426,0.1261485385957694,0.09282994427873213,0.11405932787898362
2010,Energy,Method2_LatentQuality,5,Q5,5,490243.49999999994,0.4746852027362657,0.45163018151280354,0.4631675792200549,0.6347024736734063,0.0023074687925443305,0.10917898590376507
2010,Energy,Method3_ConservativeQuality,1,Q1,5,5556.37,-0.8776199732072921,-0.7183307305906839,-0.8926350879127243,4.356301830377162e-09,0.9954254166109328,0.1114636860087451
2010,Energy,Method3_ConservativeQuality,2,Q2,4,11423.51,-0.08941441833670448,-0.07027425008195648,-0.10818718831511107,0.013551922700054675,0.6003155897683587,0.14578200480949421
2010,Energy,Method3_ConservativeQuality,3,Q3,5,85212.71,0.02499330503266992,0.028221801625141117,0.016348449930092702,0.02422575169933779,0.3061257474219868,0.08957132966114385
2010,Energy,Method3_ConservativeQuality,4,Q4,4,54889.19,0.18096636419185574,0.17820228475827737,0.16847998420605426,0.1261485385957694,0.09282994427873213,0.11405932787898362
2010,Energy,Method3_ConservativeQuality,5,Q5,5,490243.49999999994,0.4746852027362657,0.45163018151280354,0.4631675792200549,0.6347024736734063,0.0023074687925443305,0.10917898590376507
2010,Energy,Method4_ProbabilisticQuality,1,Q1,4,5097.94,-1.0362888248657192,-0.8391897932292834,-1.0539334918755865,5.401997488219123e-09,0.9985573296939804,0.12198180557548405
2010,Energy,Method4_ProbabilisticQuality,5,Q5,4,483554.04999999993,0.5273370760562852,0.49909034090552074,0.5137079160530321,0.7613661268932181,0.002872116746316047,0.1221886168915287
2010,Health Care,Method1_ObservedQuality,1,Q1,7,9039.199999999999,-0.32295204456020465,-0.22559697814010948,-0.36554257560180975,0.024971967400002404,0.7925877335577035,0.23523486255529513
2010,Health Care,Method1_ObservedQuality,2,Q2,6,4362.67,0.055358377055272114,0.06550338259854026,0.019630653710669483,0.13392454180367067,0.3583177485842146,0.21166360790474514
2010,Health Care,Method1_ObservedQuality,3,Q3,7,16359.49,0.2766115993136278,0.23921522637621437,0.23776661895697154,0.33162446994150374,0.1059451699267112,0.21526794117608397
2010,Health Care,Method1_ObservedQuality,4,Q4,6,31783.160000000003,0.4880132579332342,0.4606192939008233,0.4725237951873101,0.7674694672502421,0.01044176994248385,0.12406489075857748
2010,Health Care,Method1_ObservedQuality,5,Q5,7,649752.43,0.8739044038697789,0.7695960925269917,0.8438235769012878,0.953689208965866,0.004765898675716034,0.1820643712892063
2010,Health Care,Method2_LatentQuality,1,Q1,7,8607.619999999999,-0.32293014861370345,-0.22635270570493607,-0.3643191506941968,0.021050649867611886,0.7915972791166672,0.23066757932803722
2010,Health Care,Method2_LatentQuality,2,Q2,6,7226.17,0.05586146812815363,0.06629827019420362,0.017022450230116715,0.14786666107573618,0.36787298734425805,0.22392527509933938
2010,Health Care,Method2_LatentQuality,3,Q3,7,13927.57,0.27615848244751384,0.2392896217161866,0.23877879703268956,0.32359539952640953,0.09874541971628167,0.2093252239508325
2010,Health Care,Method2_LatentQuality,4,Q4,6,12938.24,0.5277474496398583,0.4408414267892559,0.4956638999117266,0.7428874770434525,0.015037179053641233,0.1932906771815915
2010,Health Care,Method2_LatentQuality,5,Q5,7,668597.35,0.8398465252641012,0.7865485500511923,0.8239892014232166,0.9747594862859713,0.0008269765804382763,0.12272798292662286
2010,Health Care,Method3_ConservativeQuality,1,Q1,7,9039.199999999999,-0.32295204456020465,-0.22559697814010948,-0.36554257560180975,0.024971967400002404,0.7925877335577035,0.23523486255529513
2010,Health Care,Method3_ConservativeQuality,2,Q2,6,6794.59,0.05588701339907168,0.0654165880352393,0.018449779288998467,0.14329179062128058,0.3667174571630491,0.21859677800087185
2010,Health Care,Method3_ConservativeQuality,3,Q3,7,13927.57,0.27615848244751384,0.2392896217161866,0.23877879703268956,0.32359539952640953,0.09874541971628167,0.2093252239508325
2010,Health Care,Method3_ConservativeQuality,4,Q4,6,31783.160000000003,0.4880132579332342,0.4606192939008233,0.4725237951873101,0.7674694672502421,0.01044176994248385,0.12406489075857748
2010,Health Care,Method3_ConservativeQuality,5,Q5,7,649752.43,0.8739044038697789,0.7695960925269917,0.8438235769012878,0.953689208965866,0.004765898675716034,0.1820643712892063
2010,Health Care,Method4_ProbabilisticQuality,1,Q1,6,8392.449999999999,-0.3744606693763053,-0.26447008465882854,-0.4185825156152536,0.016120657964255356,0.8485005677292085,0.24029548784536678
2010,Health Care,Method4_ProbabilisticQuality,5,Q5,6,637282.01,0.8385706630812223,0.805513789323689,0.8297975578088147,0.9935785025479654,9.245644993936882e-06,0.08972745660176008
2010,Industrials,Method1_ObservedQuality,1,Q1,19,353923.37,-0.24321485302925328,-0.2065406903068094,-0.266960309805185,0.02280118160194309,0.6905256848033754,0.16153029400400096
2010,Industrials,Method1_ObservedQuality,2,Q2,18,212950.07,0.07540216693591213,0.07771294250174386,0.06305527773877402,0.03804128096709876,0.1831071742225369,0.10645629635677212
2010,Industrials,Method1_ObservedQuality,3,Q3,18,83171.43,0.15654329162922745,0.1533686988463726,0.14022708402686937,0.11526157643480481,0.10993314111548606,0.12754262231388125
2010,Industrials,Method1_ObservedQuality,4,Q4,18,100039.43000000001,0.27786634002140903,0.2669194560256505,0.2644614744673396,0.2822503524488859,0.03087214531265201,0.11279664229416014
2010,Industrials,Method1_ObservedQuality,5,Q5,19,256541.37,0.5492529952401055,0.5173526796073091,0.5358013398393253,0.7434847518904583,0.003469302922504688,0.11684447942501892
2010,Industrials,Method2_LatentQuality,1,Q1,19,364601.72000000003,-0.24270805104804727,-0.20752107814870738,-0.2639413086270613,0.014639489867138132,0.6839583652067842,0.15093992758546884
2010,Industrials,Method2_LatentQuality,2,Q2,18,202271.72,0.07486720928908358,0.07874779633485837,0.05986855427297685,0.046656400020503995,0.1900393449078276,0.11763501646522265
2010,Industrials,Method2_LatentQuality,3,Q3,18,83171.43,0.15654329162922745,0.1533686988463726,0.14022708402686937,0.11526157643480481,0.10993314111548606,0.12754262231388125
2010,Industrials,Method2_LatentQuality,4,Q4,18,100039.43000000001,0.27786634002140903,0.2669194560256505,0.2644614744673396,0.2822503524488859,0.03087214531265201,0.11279664229416014
2010,Industrials,Method2_LatentQuality,5,Q5,19,256541.37,0.5492529952401055,0.5173526796073091,0.5358013398393253,0.7434847518904583,0.003469302922504688,0.11684447942501892
2010,Industrials,Method3_ConservativeQuality,1,Q1,19,353923.37,-0.24321485302925328,-0.2065406903068094,-0.266960309805185,0.02280118160194309,0.6905256848033754,0.16153029400400096
