Year,firm_years_before_merge,firms_before_merge,firm_years_with_analyst_forecast,firms_with_analyst_forecast
1988,1,1,0,0
1989,1,1,0,0
1990,1,1,0,0
1991,3,3,0,0
1992,5,5,0,0
1993,4,4,0,0
1994,9,9,0,0
1995,17,17,0,0
1996,18,18,0,0
1997,32,32,0,0
1998,32,32,0,0
1999,34,34,0,0
2000,38,38,0,0
2001,39,39,0,0
2002,46,46,0,0
2003,57,57,0,0
2004,274,274,0,0
2005,318,318,0,0
2006,331,331,0,0
2007,346,346,0,0
2008,356,356,0,0
2009,373,373,0,0
2010,386,386,0,0
2011,404,404,0,0
2012,434,434,0,0
2013,447,447,147,147
2014,482,482,167,167
2015,510,510,190,190
2016,526,526,202,202
2017,547,547,226,226
2018,570,570,248,248
2019,591,591,262,262
2020,617,617,283,283
2021,632,632,314,314
2022,632,632,337,337
2023,630,630,350,350
2024,632,632,360,360
