FormationYear,Exchange,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_theta_conservative,avg_p_q5,avg_p_q1,avg_sigma_acc
2010,Copenhagen,Method1_ObservedQuality,1,Q1,12,70466.48,-0.6176725762057794,-0.5110635963819221,-0.6773307234353206,0.003465101981910409,0.9405920363517281,0.183888287971118
2010,Copenhagen,Method1_ObservedQuality,2,Q2,12,40978.19,-0.02192528957888015,-0.010670349493866943,-0.05593165560770958,0.03649848482329234,0.43141234212859386,0.12054292111047625
2010,Copenhagen,Method1_ObservedQuality,3,Q3,11,236895.40000000002,0.10096352244400904,0.10292158361790013,0.05093497774038936,0.11297726628338452,0.22203256641783106,0.16475429784070703
2010,Copenhagen,Method1_ObservedQuality,4,Q4,12,50304.2,0.237377794792058,0.22752947721985717,0.2085675315362192,0.19548949893101472,0.05179134750029524,0.11334067675098448
2010,Copenhagen,Method1_ObservedQuality,5,Q5,12,316934.15,0.7620814727552481,0.7202979449732836,0.7281243258648451,0.8796135553738575,0.01485696283331743,0.12031985895486608
2010,Copenhagen,Method2_LatentQuality,1,Q1,12,70643.7,-0.6174440917036018,-0.5120358362733078,-0.6756084847963675,0.003456886086801962,0.951335561949194,0.17867500989327145
2010,Copenhagen,Method2_LatentQuality,2,Q2,12,40800.97,-0.02215377408105781,-0.00969810960248121,-0.05765389424666271,0.03650670071840079,0.4206688165311279,0.1257561991883228
2010,Copenhagen,Method2_LatentQuality,3,Q3,11,236895.40000000002,0.10096352244400904,0.10292158361790013,0.05093497774038936,0.11297726628338452,0.22203256641783106,0.16475429784070703
2010,Copenhagen,Method2_LatentQuality,4,Q4,12,32643.160000000003,0.23992541970392725,0.22288967941570728,0.1993081340256151,0.2019595915869049,0.06485335947473807,0.13576192684769411
2010,Copenhagen,Method2_LatentQuality,5,Q5,12,334595.19,0.7595338478433787,0.7249377427774334,0.7373837233754492,0.8731434627179673,0.0017949508588746045,0.09789860885815643
