PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.007557326800880639,-0.0006297772334067199,-0.3268166472815618,0.7439865061082469
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.00283954877218609,-0.00023662906434884085,-0.11783878993864023,0.9062576544036471
Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0038533091670647154,-0.00032110909725539295,-0.1523522436561613,0.8789899796407834
Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.0071929309979876024,-0.0005994109164989669,-0.35820850132680404,0.7203883034654168
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.002401908293856128,-0.00020015902448801068,-0.11545695605292919,0.9081445706528801
Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.003829140980442458,-0.0003190950817035382,-0.17860751559243962,0.8583420882468729
Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.007306578814648704,-0.000608881567887392,-0.3106549585195102,0.7562359972864727
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.00015631532551266952,-1.3026277126055794e-05,-0.006475753851264519,0.9948365848219778
Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.004271476742833638,-0.0003559563952361365,-0.1738119423158335,0.8621072970296564
Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.007069039659787481,-0.0005890866383156234,-0.32992479192468205,0.7416424974748228
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0021297608942637963,-0.00017748007452198303,-0.09662452835612415,0.9230766106397754
Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.003912388884454512,-0.00032603240703787603,-0.17237271829813425,0.8632382577358357
Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.007610450715134401,-0.0006342042262612001,-0.32682486672839844,0.7439851554509369
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,3.4869766403489155e-07,2.9058138669574296e-08,1.4666496153563584e-05,0.9999883057333505
Q5,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0044040264791909145,-0.0003670022065992429,-0.18186769841192177,0.8557861486135663
