PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
Q5,CAPM,Method1_ObservedQuality,0.033343019991864925,0.002778584999322077,2.0320444666372306,0.043563768725446206,0.685664004659482,189
Q5,FF3,Method1_ObservedQuality,0.030755227087377223,0.0025629355906147686,2.191197361697723,0.029686905254036278,0.7171580699781437,189
Q5,FF3+MOM,Method1_ObservedQuality,0.023958113259331275,0.001996509438277606,1.445801345108302,0.14993404533124188,0.718483194404467,189
Q5,FF5,Method1_ObservedQuality,0.025789599534453794,0.002149133294537816,1.8131222944908592,0.0714514841766627,0.7311957711085096,189
Q5,FF5+MOM,Method1_ObservedQuality,0.01949344052954789,0.001624453377462324,1.302892924582831,0.19425736859948262,0.7322863973095901,189
Q5,CAPM,Method2_LatentQuality,0.02918229353308973,0.002431857794424144,1.8343315290740507,0.06819390000460701,0.689876181066315,189
Q5,FF3,Method2_LatentQuality,0.026655321499137713,0.0022212767915948096,1.8846701573842524,0.06104247504230842,0.7211356228276188,189
Q5,FF3+MOM,Method2_LatentQuality,0.01811342090625418,0.0015094517421878483,1.094015549573842,0.2753782750655329,0.7231243384950574,189
Q5,FF5,Method2_LatentQuality,0.02154539877654539,0.0017954498980454494,1.488712393801182,0.1382843836945109,0.7350188536479754,189
Q5,FF5+MOM,Method2_LatentQuality,0.013307438136191875,0.0011089531780159895,0.8762893002833355,0.38202789324993924,0.7367931251341582,189
Q5,CAPM,Method3_ConservativeQuality,0.03476113563230788,0.0028967613026923233,2.1095000268935493,0.03623208859769966,0.7046948726420224,189
Q5,FF3,Method3_ConservativeQuality,0.03232415513638505,0.0026936795946987543,2.2588764218436306,0.025058065585128686,0.7321071205539951,189
Q5,FF3+MOM,Method3_ConservativeQuality,0.025799100514979367,0.002149925042914947,1.5261683269027093,0.1286850213906212,0.7333160629295072,189
Q5,FF5,Method3_ConservativeQuality,0.02745934741699098,0.0022882789514159147,1.8982743603988308,0.05923388881388214,0.7455923396013884,189
Q5,FF5+MOM,Method3_ConservativeQuality,0.02151317625863055,0.0017927646882192124,1.4132068300709455,0.1593028923498263,0.7465553458128571,189
Q5,CAPM,Method4_ProbabilisticQuality,0.03180912449042257,0.002650760374201881,2.0073839539838416,0.04614861663172842,0.6879744046332008,189
Q5,FF3,Method4_ProbabilisticQuality,0.02931772923416085,0.0024431441028467376,2.1511689777552525,0.032759789216600055,0.7179517696569899,189
Q5,FF3+MOM,Method4_ProbabilisticQuality,0.023389982606066326,0.0019491652171721937,1.4728506595684048,0.14249984404826943,0.7189649706309887,189
Q5,FF5,Method4_ProbabilisticQuality,0.024382272676750055,0.002031856056395838,1.7711767446292475,0.07819583508772765,0.7314637804419548,189
Q5,FF5+MOM,Method4_ProbabilisticQuality,0.018704245784025686,0.0015586871486688073,1.3231719888489477,0.18743809671720735,0.7323554998175279,189
