Method,Portfolio,Date,n_firms,n_exchanges,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,cash_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Method1_ObservedQuality,Q1,2010-01-31,60,4,0.9999999999999998,1.0,0.3805386697608209,0.10000000000000002,0.0,0.4,4,3,False
Method1_ObservedQuality,Q2,2010-01-31,58,4,1.0,0.9999999999999999,0.2136631505420319,0.1,0.0,0.39514488860074215,4,2,False
Method1_ObservedQuality,Q3,2010-01-31,58,4,1.0,1.0,0.1862687700519252,0.1,0.0,0.4,4,3,False
Method1_ObservedQuality,Q4,2010-01-31,60,4,0.9999999999999999,1.0,0.20825845519436742,0.1,0.0,0.37309344945201506,4,3,False
Method1_ObservedQuality,Q5,2010-01-31,59,4,1.0,1.0,0.21301167340114585,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-01-31,59,4,1.0,1.0,0.38351659143878075,0.10000000000000002,0.0,0.4,4,3,False
Method2_LatentQuality,Q2,2010-01-31,60,4,0.9999999999999999,0.9999999999999999,0.20386660268257664,0.1,0.0,0.3842592363299857,4,2,False
Method2_LatentQuality,Q3,2010-01-31,56,4,1.0,1.0,0.23125784445854367,0.1,0.0,0.4,4,2,False
Method2_LatentQuality,Q4,2010-01-31,61,4,1.0,1.0,0.2324868133907901,0.1,0.0,0.38168977184748476,4,3,False
Method2_LatentQuality,Q5,2010-01-31,59,4,1.0,1.0,0.19371645659929163,0.1,0.0,0.4,4,3,False
Method3_ConservativeQuality,Q1,2010-01-31,60,4,0.9999999999999998,1.0,0.38068495303833133,0.10000000000000002,0.0,0.4,4,3,False
Method3_ConservativeQuality,Q2,2010-01-31,58,4,1.0,0.9999999999999999,0.2207681135637344,0.1,0.0,0.3845928638709683,4,2,False
Method3_ConservativeQuality,Q3,2010-01-31,58,4,1.0,1.0,0.22676526072559522,0.1,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q4,2010-01-31,60,4,0.9999999999999999,1.0,0.18978369253128144,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-01-31,59,4,1.0000000000000002,1.0,0.21052768510708428,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-01-31,57,4,0.9999999999999999,1.0,0.38197099808242935,0.10000000000000002,0.0,0.4,4,3,False
Method4_ProbabilisticQuality,Q5,2010-01-31,57,4,1.0,0.9999999999999999,0.2131450289588426,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-02-28,60,4,1.0,1.0,0.3797829875879678,0.10000000000000002,0.0,0.4,4,4,False
Method1_ObservedQuality,Q2,2010-02-28,58,4,1.0,1.0,0.20518184451149474,0.1,0.0,0.39237893991619577,4,2,False
Method1_ObservedQuality,Q3,2010-02-28,58,4,1.0,1.0,0.19997762264348123,0.1,0.0,0.4,4,3,False
Method1_ObservedQuality,Q4,2010-02-28,60,4,0.9999999999999999,1.0,0.2270028383275296,0.1,0.0,0.3764507059808341,4,3,False
Method1_ObservedQuality,Q5,2010-02-28,59,4,0.9999999999999999,1.0,0.19300223145575476,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-02-28,59,4,1.0000000000000002,1.0,0.3827487990686183,0.10000000000000002,0.0,0.4,4,4,False
Method2_LatentQuality,Q2,2010-02-28,60,4,0.9999999999999999,1.0,0.1955333687639719,0.1,0.0,0.3806406024633231,4,2,False
Method2_LatentQuality,Q3,2010-02-28,56,4,1.0000000000000002,1.0,0.24584239644276534,0.1,0.0,0.4,4,2,False
Method2_LatentQuality,Q4,2010-02-28,61,4,0.9999999999999999,0.9999999999999999,0.22734648175666458,0.1,0.0,0.3852028390806649,4,3,False
Method2_LatentQuality,Q5,2010-02-28,59,4,1.0000000000000002,1.0,0.17476108242145832,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-02-28,60,4,1.0,0.9999999999999999,0.37993629976217574,0.10000000000000002,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q2,2010-02-28,58,4,1.0,1.0,0.20707187484977807,0.1,0.0,0.38069576718521414,4,2,False
Method3_ConservativeQuality,Q3,2010-02-28,58,4,1.0000000000000002,1.0,0.24022182264771244,0.1,0.0,0.39821287514103465,4,2,False
Method3_ConservativeQuality,Q4,2010-02-28,60,4,0.9999999999999999,1.0,0.19284162103685132,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-02-28,59,4,1.0,1.0,0.19103467253270076,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-02-28,57,4,1.0000000000000002,1.0,0.3810402499082413,0.10000000000000002,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q5,2010-02-28,57,4,1.0,1.0,0.19321668652903815,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-03-31,60,4,1.0,1.0,0.41120692302601763,0.10000000000000002,0.0,0.4,4,4,False
Method1_ObservedQuality,Q2,2010-03-31,58,4,1.0000000000000002,0.9999999999999999,0.22598239492914912,0.1,0.0,0.3939660285988248,4,2,False
Method1_ObservedQuality,Q3,2010-03-31,58,4,1.0,1.0,0.1957754007453028,0.1,0.0,0.3971916372590292,4,3,False
Method1_ObservedQuality,Q4,2010-03-31,60,4,1.0000000000000002,1.0,0.2317168206728204,0.1,0.0,0.37119896690909526,4,3,False
Method1_ObservedQuality,Q5,2010-03-31,59,4,1.0,1.0,0.19266752122347316,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-03-31,59,4,1.0000000000000002,1.0,0.41412271961875907,0.10000000000000002,0.0,0.4,4,4,False
Method2_LatentQuality,Q2,2010-03-31,60,4,0.9999999999999999,1.0,0.21591204419451665,0.1,0.0,0.3824760926463786,4,2,False
Method2_LatentQuality,Q3,2010-03-31,56,4,1.0,1.0,0.24266367738993938,0.1,0.0,0.3956022424378647,4,2,False
Method2_LatentQuality,Q4,2010-03-31,61,4,1.0000000000000002,1.0,0.23389172934484692,0.1,0.0,0.37924722805129085,4,3,False
Method2_LatentQuality,Q5,2010-03-31,59,4,1.0,1.0,0.1742491510104425,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-03-31,60,4,0.9999999999999999,1.0,0.41135697044786473,0.10000000000000002,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q2,2010-03-31,58,4,1.0,0.9999999999999999,0.22435022940233756,0.1,0.0,0.3921225639424911,4,2,False
Method3_ConservativeQuality,Q3,2010-03-31,58,4,1.0,1.0,0.23840617939521944,0.1,0.0,0.3887738596079665,4,2,False
Method3_ConservativeQuality,Q4,2010-03-31,60,4,1.0,0.9999999999999999,0.19576659941193786,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-03-31,59,4,1.0,1.0,0.19075736442001587,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-03-31,57,4,1.0000000000000002,1.0,0.4119183369891788,0.10000000000000002,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q5,2010-03-31,57,4,1.0,1.0,0.19284281581361903,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-04-30,61,4,1.0,1.0,0.39455806783094144,0.10000000000000002,0.0,0.4,4,3,False
Method1_ObservedQuality,Q2,2010-04-30,59,4,1.0,0.9999999999999999,0.20411300048325112,0.1,0.0,0.3965702972038957,4,2,False
Method1_ObservedQuality,Q3,2010-04-30,58,4,1.0,1.0,0.18520490727045077,0.1,0.0,0.3966235077257529,4,3,False
Method1_ObservedQuality,Q4,2010-04-30,60,4,0.9999999999999999,1.0,0.23168279460228292,0.1,0.0,0.3724034599734227,4,3,False
Method1_ObservedQuality,Q5,2010-04-30,59,4,1.0,1.0,0.18753787796985674,0.1,0.0,0.4,4,5,False
Method2_LatentQuality,Q1,2010-04-30,60,4,1.0,0.9999999999999999,0.3969873590837184,0.10000000000000002,0.0,0.4,4,4,False
Method2_LatentQuality,Q2,2010-04-30,61,4,0.9999999999999998,1.0,0.1955712716521772,0.1,0.0,0.3861479629496791,4,2,False
Method2_LatentQuality,Q3,2010-04-30,56,4,1.0,1.0,0.2283762909510912,0.1,0.0,0.39785398723904863,4,2,False
Method2_LatentQuality,Q4,2010-04-30,61,4,1.0,1.0000000000000002,0.2297215933827264,0.1,0.0,0.3809163027521124,4,3,False
Method2_LatentQuality,Q5,2010-04-30,59,4,1.0,1.0,0.16943764886509907,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-04-30,61,4,0.9999999999999999,1.0,0.39468738127827724,0.10000000000000002,0.0,0.4,4,3,False
Method3_ConservativeQuality,Q2,2010-04-30,59,4,0.9999999999999999,1.0000000000000002,0.20415554182035836,0.1,0.0,0.38991426012888586,4,2,False
Method3_ConservativeQuality,Q3,2010-04-30,58,4,0.9999999999999999,1.0000000000000002,0.22383800627597472,0.1,0.0,0.39030257019139003,4,2,False
Method3_ConservativeQuality,Q4,2010-04-30,60,4,0.9999999999999999,1.0,0.1967457149030054,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-04-30,59,4,1.0,1.0,0.185603991931426,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-04-30,58,4,1.0000000000000002,1.0,0.3956517193525186,0.10000000000000002,0.0,0.4,4,3,False
Method4_ProbabilisticQuality,Q5,2010-04-30,57,4,1.0,1.0,0.1876112520122769,0.1,0.0,0.4,4,5,False
Method1_ObservedQuality,Q1,2010-05-31,61,4,0.9999999999999999,1.0,0.34329010341999455,0.1,0.0,0.4,4,3,False
Method1_ObservedQuality,Q2,2010-05-31,59,4,0.9999999999999999,1.0,0.19690270081495967,0.1,0.0,0.3873445967577841,4,2,False
Method1_ObservedQuality,Q3,2010-05-31,58,4,1.0,0.9999999999999999,0.20194673132520927,0.1,0.0,0.4,4,3,False
Method1_ObservedQuality,Q4,2010-05-31,60,4,0.9999999999999999,1.0,0.24188064136614282,0.1,0.0,0.3779071768290796,4,3,False
Method1_ObservedQuality,Q5,2010-05-31,59,4,1.0,1.0,0.20106599042740203,0.1,0.0,0.4,4,5,False
Method2_LatentQuality,Q1,2010-05-31,60,4,0.9999999999999999,1.0,0.3452401265924914,0.1,0.0,0.4,4,3,False
Method2_LatentQuality,Q2,2010-05-31,61,4,1.0,1.0000000000000002,0.18816128215697372,0.1,0.0,0.37792856015344256,4,2,False
Method2_LatentQuality,Q3,2010-05-31,56,4,0.9999999999999999,0.9999999999999999,0.24681646650265615,0.1,0.0,0.39911022651523986,4,2,False
Method2_LatentQuality,Q4,2010-05-31,61,4,1.0,1.0,0.21663078864720878,0.1,0.0,0.3870336659092881,4,3,False
Method2_LatentQuality,Q5,2010-05-31,59,4,1.0,0.9999999999999999,0.17950466952840247,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-05-31,61,4,0.9999999999999998,1.0,0.34340027970099496,0.1,0.0,0.4,4,3,False
Method3_ConservativeQuality,Q2,2010-05-31,59,4,1.0,1.0,0.20066992094971656,0.1,0.0,0.3826799441188337,4,2,False
Method3_ConservativeQuality,Q3,2010-05-31,58,4,1.0,1.0000000000000002,0.24372973385266222,0.1,0.0,0.39206132228074086,4,2,False
Method3_ConservativeQuality,Q4,2010-05-31,60,4,0.9999999999999999,1.0,0.20824022299104902,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-05-31,59,4,1.0,1.0,0.198759922908182,0.1,0.0,0.4,4,5,False
Method4_ProbabilisticQuality,Q1,2010-05-31,58,4,1.0,1.0,0.3444349450113142,0.1,0.0,0.4,4,3,False
Method4_ProbabilisticQuality,Q5,2010-05-31,57,4,0.9999999999999999,1.0,0.20115433056293883,0.1,0.0,0.4,4,5,False
Method1_ObservedQuality,Q1,2010-06-30,61,4,1.0,1.0,0.35478985574663274,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q2,2010-06-30,60,4,0.9999999999999999,1.0,0.20537040825179287,0.1,0.0,0.3942986238147581,4,2,False
Method1_ObservedQuality,Q3,2010-06-30,59,4,1.0,0.9999999999999999,0.2109599131545901,0.1,0.0,0.3979586721306038,4,3,False
Method1_ObservedQuality,Q4,2010-06-30,60,4,1.0,0.9999999999999999,0.24626135011554945,0.1,0.0,0.37856041941917296,4,3,False
Method1_ObservedQuality,Q5,2010-06-30,61,4,0.9999999999999998,1.0,0.18619031897754168,0.1,0.0,0.4,4,5,False
Method2_LatentQuality,Q1,2010-06-30,60,4,0.9999999999999998,0.9999999999999999,0.3565641021798178,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q2,2010-06-30,61,4,1.0,1.0,0.1974139968155581,0.1,0.0,0.3846437307307494,4,2,False
Method2_LatentQuality,Q3,2010-06-30,59,4,1.0000000000000002,1.0,0.2577717950442876,0.1,0.0,0.3961310765692537,4,2,False
Method2_LatentQuality,Q4,2010-06-30,61,4,1.0,1.0,0.2190170351321374,0.1,0.0,0.3876171748951659,4,3,False
Method2_LatentQuality,Q5,2010-06-30,60,4,1.0000000000000002,1.0,0.1663582601788717,0.1,0.0,0.4,4,5,False
Method3_ConservativeQuality,Q1,2010-06-30,61,4,1.0,1.0,0.35489509676106906,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q2,2010-06-30,60,4,0.9999999999999999,1.0,0.20185520827570597,0.1,0.0,0.39432328619191137,4,2,False
Method3_ConservativeQuality,Q3,2010-06-30,59,4,1.0000000000000002,1.0,0.254573977626641,0.1,0.0,0.3935524508021795,4,2,False
Method3_ConservativeQuality,Q4,2010-06-30,61,4,1.0,1.0,0.211630398132352,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-06-30,60,4,1.0,1.0,0.18408312030413138,0.1,0.0,0.4,4,5,False
Method4_ProbabilisticQuality,Q1,2010-06-30,58,4,0.9999999999999999,1.0,0.356514776932067,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q5,2010-06-30,59,4,0.9999999999999998,1.0000000000000002,0.18618808646920817,0.1,0.0,0.4,4,5,False
Method1_ObservedQuality,Q1,2010-07-31,61,4,1.0,1.0,0.35577244915817535,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q2,2010-07-31,60,4,0.9999999999999999,0.9999999999999999,0.216118833060126,0.1,0.0,0.39571682098636096,4,2,False
Method1_ObservedQuality,Q3,2010-07-31,59,4,1.0,1.0,0.21574370128168546,0.1,0.0,0.38959946917496324,4,3,False
Method1_ObservedQuality,Q4,2010-07-31,60,4,1.0,1.0,0.2642064883081971,0.1,0.0,0.37996050775092693,4,3,False
Method1_ObservedQuality,Q5,2010-07-31,61,4,1.0000000000000002,1.0,0.20121114678605384,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-07-31,60,4,1.0,1.0,0.357632970209501,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q2,2010-07-31,61,4,0.9999999999999998,1.0,0.20748536215184749,0.1,0.0,0.3887426898938069,4,2,False
Method2_LatentQuality,Q3,2010-07-31,59,4,0.9999999999999999,1.0,0.26654890540094134,0.1,0.0,0.4,4,2,False
Method2_LatentQuality,Q4,2010-07-31,61,4,1.0000000000000002,1.0,0.23285764833375833,0.1,0.0,0.3891220762986145,4,3,False
Method2_LatentQuality,Q5,2010-07-31,60,4,1.0,0.9999999999999999,0.17843798795536603,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-07-31,61,4,1.0000000000000002,1.0,0.3558832589204865,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q2,2010-07-31,60,4,0.9999999999999999,0.9999999999999999,0.2092896259481709,0.1,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q3,2010-07-31,59,4,0.9999999999999999,1.0,0.26452446609770297,0.1,0.0,0.39991725864138683,4,2,False
Method3_ConservativeQuality,Q4,2010-07-31,61,4,1.0,1.0,0.22526684274911313,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-07-31,60,4,0.9999999999999999,1.0,0.19877491562359373,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-07-31,58,4,1.0,1.0,0.35747174125912135,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q5,2010-07-31,59,4,0.9999999999999999,1.0,0.20112649087128548,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-08-31,61,4,1.0,1.0,0.36469202442238774,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q2,2010-08-31,60,4,1.0000000000000002,1.0,0.22262074615762906,0.1,0.0,0.39646503979737724,4,2,False
Method1_ObservedQuality,Q3,2010-08-31,59,4,1.0,0.9999999999999999,0.20699306856492442,0.1,0.0,0.39216332069409215,4,3,False
Method1_ObservedQuality,Q4,2010-08-31,60,4,1.0000000000000002,0.9999999999999999,0.24029898027747626,0.1,0.0,0.3791268087956583,4,3,False
Method1_ObservedQuality,Q5,2010-08-31,61,4,1.0000000000000002,1.0000000000000002,0.19731504411762835,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-08-31,60,4,0.9999999999999999,1.0,0.36661200932303445,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q2,2010-08-31,61,4,1.0000000000000002,1.0,0.21433700936528213,0.1,0.0,0.38964823757072564,4,2,False
Method2_LatentQuality,Q3,2010-08-31,59,4,1.0,1.0,0.25592351259135865,0.1,0.0,0.39535602796767055,4,2,False
Method2_LatentQuality,Q4,2010-08-31,61,4,1.0000000000000002,0.9999999999999999,0.23268793639689678,0.1,0.0,0.3880892399714859,4,3,False
Method2_LatentQuality,Q5,2010-08-31,60,4,1.0,1.0,0.17670401238250028,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-08-31,61,4,1.0,1.0,0.36480035380988873,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q2,2010-08-31,60,4,1.0,0.9999999999999999,0.22012068037884475,0.1,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q3,2010-08-31,59,4,1.0000000000000002,1.0,0.2525874065020703,0.1,0.0,0.3924202373667961,4,2,False
Method3_ConservativeQuality,Q4,2010-08-31,61,4,1.0000000000000002,1.0,0.20369797782859259,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-08-31,60,4,1.0,1.0,0.19497102220760426,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-08-31,58,4,0.9999999999999999,1.0,0.36654710196700147,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q5,2010-08-31,59,4,1.0000000000000002,1.0,0.19731741446727416,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-09-30,61,4,1.0000000000000002,1.0,0.3657157152040311,0.10000000000000002,0.0,0.4,4,4,False
Method1_ObservedQuality,Q2,2010-09-30,60,4,0.9999999999999998,1.0,0.21579129882238285,0.1,0.0,0.39650376748811866,4,2,False
Method1_ObservedQuality,Q3,2010-09-30,59,4,1.0,1.0,0.1969354831670113,0.1,0.0,0.38307573169508313,4,3,False
Method1_ObservedQuality,Q4,2010-09-30,60,4,1.0,1.0,0.2275385727927705,0.1,0.0,0.37722824062999516,4,3,False
Method1_ObservedQuality,Q5,2010-09-30,61,4,1.0000000000000002,1.0,0.197291898824453,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-09-30,60,4,1.0000000000000002,1.0,0.3678073884134183,0.10000000000000002,0.0,0.4,4,4,False
Method2_LatentQuality,Q2,2010-09-30,61,4,1.0,0.9999999999999999,0.20847859578239275,0.1,0.0,0.3901639870710433,4,2,False
Method2_LatentQuality,Q3,2010-09-30,59,4,1.0,1.0000000000000002,0.24641520606572417,0.1,0.0,0.38765027500704385,4,2,False
Method2_LatentQuality,Q4,2010-09-30,61,4,1.0,0.9999999999999999,0.24117196712824016,0.1,0.0,0.3853059738959842,4,3,False
Method2_LatentQuality,Q5,2010-09-30,60,4,1.0,1.0,0.17847742296407126,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-09-30,61,4,1.0,1.0,0.3658156028485966,0.10000000000000002,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q2,2010-09-30,60,4,1.0,1.0,0.21726028214719917,0.1,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q3,2010-09-30,59,4,1.0,1.0,0.2420698536959528,0.1,0.0,0.39133018793164176,4,2,False
Method3_ConservativeQuality,Q4,2010-09-30,61,4,1.0,1.0,0.1938340839153603,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q5,2010-09-30,60,4,1.0000000000000002,1.0,0.1951443876632304,0.1,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q1,2010-09-30,58,4,1.0,1.0,0.3675756689468499,0.10000000000000002,0.0,0.4,4,4,False
Method4_ProbabilisticQuality,Q5,2010-09-30,59,4,0.9999999999999999,1.0,0.19724622023400162,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q1,2010-10-31,61,4,1.0,1.0,0.3386939745611147,0.1,0.0,0.4,4,4,False
Method1_ObservedQuality,Q2,2010-10-31,60,4,0.9999999999999998,1.0,0.21076534058871113,0.1,0.0,0.3918499258863106,4,2,False
Method1_ObservedQuality,Q3,2010-10-31,59,4,1.0,1.0,0.18879271327253253,0.1,0.0,0.38765557256196226,4,3,False
Method1_ObservedQuality,Q4,2010-10-31,60,4,1.0,0.9999999999999999,0.2232783186292714,0.1,0.0,0.38104147881911354,4,3,False
Method1_ObservedQuality,Q5,2010-10-31,61,4,1.0,1.0,0.17935083950217084,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q1,2010-10-31,60,4,1.0000000000000002,1.0,0.3405358473498438,0.1,0.0,0.4,4,4,False
Method2_LatentQuality,Q2,2010-10-31,61,4,0.9999999999999999,1.0000000000000002,0.20324685292274117,0.1,0.0,0.3856661341383143,4,2,False
Method2_LatentQuality,Q3,2010-10-31,59,4,1.0,1.0,0.2350956942079483,0.1,0.0,0.3957065738125981,4,2,False
Method2_LatentQuality,Q4,2010-10-31,61,4,1.0,1.0,0.23678431765860777,0.1,0.0,0.389973887878556,4,3,False
Method2_LatentQuality,Q5,2010-10-31,60,4,1.0,0.9999999999999999,0.1617741906864462,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q1,2010-10-31,61,4,1.0,1.0,0.3387738405736074,0.1,0.0,0.4,4,4,False
Method3_ConservativeQuality,Q2,2010-10-31,60,4,0.9999999999999999,0.9999999999999999,0.20562784433453077,0.1,0.0,0.4,4,2,False
Method3_ConservativeQuality,Q3,2010-10-31,59,4,0.9999999999999999,0.9999999999999999,0.23293744938271999,0.1,0.0,0.3909219494549656,4,2,False
Method3_ConservativeQuality,Q4,2010-10-31,61,4,1.0,1.0,0.19046937271123388,0.1,0.0,0.4,4,4,False
