PortfolioStrategy,FactorModel,Method1_ObservedQuality_alpha_annualized,Method2_LatentQuality_alpha_annualized,Method3_ConservativeQuality_alpha_annualized,Method4_ProbabilisticQuality_alpha_annualized,Method1_ObservedQuality_p_value,Method2_LatentQuality_p_value,Method3_ConservativeQuality_p_value,Method4_ProbabilisticQuality_p_value,Method1_ObservedQuality_t_stat,Method2_LatentQuality_t_stat,Method3_ConservativeQuality_t_stat,Method4_ProbabilisticQuality_t_stat,Method2_LatentQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method3_ConservativeQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method2_LatentQuality_minus_Method1_ObservedQuality_p_value,Method3_ConservativeQuality_minus_Method1_ObservedQuality_p_value,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_p_value,Method2_LatentQuality_minus_Method1_ObservedQuality_t_stat,Method3_ConservativeQuality_minus_Method1_ObservedQuality_t_stat,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_t_stat
LongShort,CAPM,0.0940572399325544,0.07902307876316955,0.10249012950330422,0.10168478266783376,0.04059277700811181,0.09279641488272139,0.025841858000599904,0.02771933277394867,2.061978232260255,1.6894673882897575,2.2464942104872145,2.2185684887478843,-0.015034161169384816,0.008432889570749887,0.007627542735279455,0.8180984056647524,0.8959396600712499,0.9060121960062222,-0.23015339584198885,0.13088119761280628,0.1181500493640554
LongShort,FF3,0.1113037897776282,0.09603068907160708,0.1195471599713825,0.11879262296870763,0.005131827686186918,0.015498020642786825,0.002780762146636695,0.0029132164251566284,2.8324175956973083,2.4431617510535446,3.0316907882819435,3.016908599438622,-0.0152731007060234,0.00824337019375265,0.007488833191077616,0.7841498060659964,0.882358791230013,0.8928972127626058,-0.27411423150053504,0.14808191046868732,0.13473177151545254
LongShort,FF3+MOM,0.06348474095938117,0.06328931042236048,0.06746496521358636,0.0680366670078208,0.15333228256035314,0.1685687683446493,0.14492658881737075,0.13344581734534078,1.4337797432459556,1.3822557780542415,1.4639036430629868,1.5073114633235691,-0.00019543053701995706,0.003980224254204369,0.00455192604843881,0.9975595471234311,0.9505336298009555,0.9427368422852929,-0.0030607374769386214,0.06207899121934408,0.07187951349913625
LongShort,FF5,0.072352072854137,0.057823657836892035,0.07838628550509057,0.07927462112296017,0.021639675113926504,0.061843170080537524,0.01252400836681633,0.011442476772812515,2.316482698565765,1.8789357880437945,2.521938329435551,2.5546816961838115,-0.014528415017271321,0.0060342126509312895,0.006922548268799225,0.7404312456690914,0.8907382368477281,0.8746141288105156,-0.3315335626129179,0.1374657718928533,0.15791085517760825
LongShort,FF5+MOM,0.042216560501450784,0.04267380220500673,0.04382523690649783,0.046139584849139645,0.23571877709745648,0.23929467160524576,0.22990991501388436,0.1954285646686036,1.1896878405590756,1.180619210906902,1.2046310362439996,1.2994633405807308,0.00045724170355429875,0.0016086764050453756,0.003923024347687206,0.9928152279742755,0.9747845804749518,0.9378720513241867,0.009011085351941027,0.031629842130912925,0.07799856598067462
Q5,CAPM,0.014299957053713412,0.012836078422312481,0.010903437668602687,0.015416893121378245,0.17981167171369639,0.29243993551661873,0.3477252886851745,0.16404520566731162,1.3463739094846425,1.055760017448884,0.9413787707268086,1.3970796777785035,-0.0014638786314009195,-0.003396519385110694,0.0011169360676648726,0.9274461024049037,0.8280901769811169,0.9415042392290132,-0.09111990064735485,-0.21730369274712627,0.07342869433594326
Q5,FF3,0.017140219228332865,0.015664268810471886,0.013459070704120602,0.018263431265675676,0.08238907633229342,0.17209568414531073,0.2234182218986931,0.07675076471931663,1.7464699265829686,1.3708077349004626,1.2215869779953155,1.7797969347554088,-0.0014759504178876032,-0.0036811485242389252,0.0011232120373164262,0.9214274095869799,0.8015223784394512,0.9362551908995136,-0.09870316159341433,-0.2515580083847046,0.08003185316714226
Q5,FF3+MOM,0.019561556561370163,0.019219944435371193,0.01543702104237186,0.020196703892248136,0.08989325501673173,0.1343306248035525,0.21229753681014985,0.09411920123381612,1.704940510288332,1.5038649619971634,1.2516190820479371,1.682751892511623,-0.0003416121259989663,-0.004124535518997968,0.000635147330878244,0.9840710900845835,0.8057524473583908,0.9692711360960586,-0.01997882766584886,-0.2460865316867972,0.03854866308739202
Q5,FF5,0.008438543633515466,0.007397312466093996,0.004716028341914694,0.00929189728039918,0.3752344249292725,0.5041644718752716,0.6580104194933445,0.34846793110096774,0.888880109710333,0.6692735612399228,0.4433858356448637,0.939977963594199,-0.0010412311674727892,-0.0037225152916516013,0.0008533536468328939,0.9429633532713089,0.793708436235852,0.950231869142766,-0.07159496439346671,-0.2616889884851929,0.06245841832239101
Q5,FF5+MOM,0.012468359470352335,0.012315735840072367,0.008051610807487172,0.012883183312457705,0.25140417785269276,0.307503120619917,0.48766123997923705,0.25466405118919044,1.1506052267898916,1.0233448069265918,0.6954485774372665,1.1427002337851018,-0.0001526236302812206,-0.00441674866286608,0.00041482384210424217,0.9925188468431831,0.7818120498588019,0.97903413889315,-0.009382814989759408,-0.27716330101543346,0.02629790275427247
