Ticker,Year,CompanyName,Industry,Sector,WCA_scaled,CFO_t-1_scaled,CFO_t_scaled,dREV_scaled,PPE_scaled,WCA_fitted,dd_resid,sigma_acc,sigma_acc_abs
20202.OL,2018,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,-0.005827733318461924,0.0,-0.011376627722164906,0.0,1.6472408889384602,0.015515532981067982,-0.021343266299529907,,
20202.OL,2019,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,-0.00894370725434032,-0.0026499873346193564,0.029143365613816304,0.05199950637490826,1.0764664237511608,-0.024844976041385435,0.015901268787045113,,
20202.OL,2020,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,-0.002792778236059493,0.015263332454566327,0.06978884079293131,0.12930801350466453,1.0863431103249452,-0.013484635394823264,0.010691857158763772,,
20202.OL,2021,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,0.00135495406910557,0.060039390241404235,0.21002080717803742,0.14275304425695548,0.9293580210061777,-0.008885581549422965,0.010240535618528536,0.017005701575876164,0.014544231965966832
20202.OL,2022,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,0.022344465066523676,0.2004466099955171,0.11350708947980688,-0.06057025867907902,0.9549409896642883,-0.0018367653492257093,0.024181230415749384,0.01730270262285767,0.01647163165592334
20202.OL,2023,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,-0.024475208827855744,0.10790280012532326,0.11542485117862282,0.001141716185287249,0.907951123926654,-0.014370934261206829,-0.010104274566648915,0.012653900625399239,0.014223833309347145
20202.OL,2024,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,0.004495820611495895,0.12707562654288057,0.14038477559628817,0.010201829606060323,0.8143135469481475,0.00259813967687605,0.0018976809346198447,0.012621292276562638,0.01142311573886209
8TRA.ST,2017,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,0.044641213878536666,0.017696806761014046,0.01702645546214525,0.05979875937879754,0.1485544125222598,0.018238177284624582,0.026403036593912084,,
8TRA.ST,2018,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,0.13266956220506454,0.015384642464526269,0.008330283749552074,0.04905066196645605,0.12306612430729971,0.010661616182123822,0.12200794602294071,,
8TRA.ST,2019,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,0.0769710283006863,0.008112851755117322,0.023692603486051542,0.0351715136570371,0.14777458076782815,-0.011565397525979158,0.08853642582666546,,
8TRA.ST,2020,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,-0.02113295827483651,0.023998430851578368,0.047738174918129476,-0.050875687590471626,0.16214297692096474,-0.017953838333246055,-0.003179119941590456,0.057067099565919745,0.060031632096277175
8TRA.ST,2021,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,-0.06887215135584508,0.042619285093288446,0.03117984799483561,0.1380576209772499,0.16006308850499912,0.03307105045641981,-0.10194320181226489,0.08710440636883512,0.06841394603947472
8TRA.ST,2022,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,0.05612626163928471,0.026815460052791368,-0.01146018834791656,0.16511299017111788,0.15067002438641738,0.031438319790731396,0.024687941848553316,0.08710759619890336,0.06807092709040297
8TRA.ST,2023,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,0.027074775262429074,-0.010242149820619514,0.04530070661238699,0.1961075682711592,0.15414628503620265,0.010655155072990419,0.016419620189438655,0.06892034872882766,0.04695326192370256
8TRA.ST,2024,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,0.011542511701308628,0.04032495735254135,0.03721087635606718,0.023169107489907054,0.15533663356533164,0.0002890219458405515,0.011253489755468075,0.05208529617207682,0.03149667470946308
AAB.CO,2005,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.07904162035321725,0.016631674282656127,0.03762710468897946,-0.0519533983780001,0.26874150920093864,0.008491493078072643,-0.0875331134312899,,
AAB.CO,2006,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.019031948443713066,0.02506513094748389,0.10393528040586865,0.20375702728643902,0.17298779651720828,0.021912482484109985,-0.002880534040396919,,
AAB.CO,2007,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.07917294211710453,0.07047098417656794,0.0,0.11171231475800002,0.0,0.032881781253022144,-0.11205472337012667,,
AAB.CO,2008,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.12134034766697166,0.0,0.1607387923147301,0.2841948764867338,0.5408851784080513,0.020424749270224148,0.10091559839674752,0.09631947026232089,0.07584599230964026
AAB.CO,2009,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.11345556199907805,0.16719453985814337,0.036876775066541766,-0.36088682696168084,0.351162064504617,-0.03467429924185391,-0.07878126275722414,0.08676545534343841,0.07643304639915703
AAB.CO,2010,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.2738014450520937,0.04949902199512994,-0.12993493273721607,-0.07209293042193926,0.07700291405532714,0.03377125045084207,-0.30757269550293576,0.15124166109611492,0.1204409628134862
AAB.CO,2011,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.6759736114066821,-0.27708022983613534,-0.3405831027878272,-0.3055969355181953,0.0,0.0027224482267482605,0.6732511631799338,0.37470197971250535,0.25451508864139355
AAB.CO,2012,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.7158007786280037,-1.0742381527721843,-0.04376426365955162,-0.12968183648811918,1.0487313733387034,-0.18524715099082645,-0.5305536276371773,0.4587130639945009,0.33821486949480367
AAB.CO,2013,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.23020792467634366,-0.02557865829737152,0.20980776775205964,0.146724205570812,0.547351902706944,-0.012096846818999401,-0.21811107785734427,0.45839075259797435,0.36165396538692307
AAB.CO,2014,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.29372693726937277,0.13156211562115622,0.20152521525215253,0.6560393603936038,0.35089790897908973,0.05307383534520381,0.24065310192416894,0.4823872554743268,0.394028333220312
AAB.CO,2015,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.09560605068430367,0.1341104053434615,0.13299718420535656,-0.31720254076353865,0.276995612599044,-0.013327183189877278,-0.0822788674944264,0.45979178848171043,0.34896956761861014
AAB.CO,2016,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.04433127672771194,0.1326020957790618,0.07469069304344987,-0.007508242744752429,0.26827277772337027,0.028481841392952373,0.01584943533475957,0.2863555593485423,0.2174892220495753
AAB.CO,2017,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.46814709117393494,0.0680162906150599,0.12360652813698386,-0.0831772644846755,0.2516127114361307,0.002071544753378448,0.4660755464205565,0.2711481258135067,0.20459360580625113
AAB.CO,2018,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.16562793979303853,0.12223659454374412,-0.059325023518344316,0.06367591721542804,0.24294449670743182,0.04383696911138242,-0.20946490890442093,0.26875325815228773,0.20286437201566648
AAB.CO,2019,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.29523029245182203,-0.07188401667082249,-0.1283795818045809,-0.0751611869055676,0.3869198161934955,-0.01933778951617418,-0.2758925029356478,0.2927329702731266,0.20991225221796225
AAB.CO,2020,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.06584106744901126,-0.10166718384157522,0.15080820333436767,0.08496713588535644,0.3091201444328472,-0.051974190322940296,0.11781525777195156,0.2952683480835748,0.21701953027346726
AAB.CO,2021,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.05026817711715613,0.1285807056786204,0.14839935541284846,0.014479159150491815,0.24980157298506386,0.006618242275695924,-0.05688641939285205,0.2974845549829124,0.22522692708508574
AAB.CO,2022,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.11318345084475188,0.16416123453505388,-0.31251829187175734,0.09514433949713978,0.3186909671411467,0.030709755294057353,0.08247369555069453,0.1735828358926273,0.14850655691111336
AAB.CO,2023,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.11291124663019868,-0.3074305755489832,-0.22048315753657705,0.05103776794828173,0.2968565969586725,0.01704736999916321,-0.1299586166293619,0.160583680152225,0.13260529845610158
AAB.CO,2024,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,-0.07341965769139475,-0.22215775732482396,-0.380706242253224,-0.04309185368812462,0.2849231256098526,0.00792306456636377,-0.08134272225775852,0.10782189143512692,0.09369534232052372
AAK.ST,2006,AAK AB (publ),Food & Tobacco,Consumer Staples,0.6375325734834023,0.10249261403689418,0.04879725630282053,2.236936944072616,0.7935969838340475,0.2972341437634524,0.3402984297199499,,
AAK.ST,2007,AAK AB (publ),Food & Tobacco,Consumer Staples,0.12458497954782123,0.022384399227693176,-0.048245196517497896,0.25227575452153383,0.3622778836700125,0.0395213503489773,0.08506362919884393,,
AAK.ST,2008,AAK AB (publ),Food & Tobacco,Consumer Staples,0.04945440840437077,-0.038377832512600026,0.0016809666367429942,0.4330916895622261,0.32783936248126394,0.02313139767461946,0.026323010729751312,,
AAK.ST,2009,AAK AB (publ),Food & Tobacco,Consumer Staples,-0.11641322387121675,0.0017372789718749589,0.22272776695131435,-0.22521778715584476,0.2878972352889869,-0.06448851315194744,-0.05192471071926931,0.16978008581366333,0.1259024450919536
AAK.ST,2010,AAK AB (publ),Food & Tobacco,Consumer Staples,0.014744363760456342,0.24995424232326974,0.08524537847465025,-0.09099777212073606,0.3162194035344369,0.028439294311748898,-0.013694930551292556,0.15556844706155074,0.1034609421838214
AAK.ST,2011,AAK AB (publ),Food & Tobacco,Consumer Staples,0.06742684365498787,0.07621831330385659,0.02992552487459597,0.24414101838619656,0.2913845275888857,0.0008023248707202685,0.0666245187842676,0.05640235916404597,0.04872615999668495
AAK.ST,2012,AAK AB (publ),Food & Tobacco,Consumer Staples,-0.059293166476379514,0.029349688230846743,0.1555200718662291,0.002667939689747503,0.28183155411896255,-0.02473577678045282,-0.03455738969592669,0.04795626691983084,0.03862491209610149
AAK.ST,2013,AAK AB (publ),Food & Tobacco,Consumer Staples,0.008339215635664615,0.14843040721991357,0.13166668724069708,0.04391358458339287,0.3201479983525813,0.0017751941998681324,0.006564021435796483,0.04586441170115322,0.03467311423731053
AAK.ST,2014,AAK AB (publ),Food & Tobacco,Consumer Staples,0.06901577978846889,0.1093462033306104,0.05924212466792452,0.134079972115213,0.34052711753596154,0.03674176866817909,0.0322740111202898,0.03953064277080599,0.030742974317514625
AAK.ST,2015,AAK AB (publ),Food & Tobacco,Consumer Staples,0.01926151142116586,0.04790958033330042,0.12509882867761388,0.21612220764234893,0.3387865911059089,0.02147753808290516,-0.002216026661739298,0.03800989732380603,0.028447193539603975
AAK.ST,2016,AAK AB (publ),Food & Tobacco,Consumer Staples,0.01226760314472444,0.1076430942039207,0.07724711768721049,0.15745672274834271,0.317593173567842,0.023172448708231336,-0.010904845563506897,0.02442901887961494,0.017303258895451833
AAK.ST,2017,AAK AB (publ),Food & Tobacco,Consumer Staples,0.0361585140676686,0.07175616482754507,0.06411131479974289,0.23736988242353196,0.3121406122265792,0.01741311962368544,0.01874539444398316,0.01706261014302431,0.014140859845063128
