PortfolioStrategy,Method,MethodLabel,annualized_return,annualized_excess_return,volatility_ann,excess_volatility_ann,sharpe_ratio,max_drawdown,n_obs
Q5,Method1_ObservedQuality,Observed Quality,0.13616618397499092,0.11664034286388031,0.11779591249684496,0.11806804923107132,0.9879077669488987,-0.20043373295366884,189
Q5,Method2_LatentQuality,Latent Quality,0.13226116574081132,0.11273532462970072,0.12162483910015624,0.1218274571822365,0.9253687734864625,-0.2090963879355371,189
Q5,Method3_ConservativeQuality,Conservative Quality,0.13592862201387007,0.11640278090275949,0.11865913777934987,0.11891204866708874,0.9788981201446264,-0.20294096347447854,189
Q5,Method4_ProbabilisticQuality,Probabilistic Quality,0.13688930704512942,0.11736346593401875,0.11743835613779141,0.11770899210192794,0.9970645728780858,-0.20043373295366884,189
LongShort,Method1_ObservedQuality,Observed Quality,0.07769028604953965,0.07769028604953965,0.13500843936701454,0.13500843936701454,0.5754476269319876,-0.2723471874043668,189
LongShort,Method2_LatentQuality,Latent Quality,0.05563578698184883,0.05563578698184883,0.1290722234404404,0.1290722234404404,0.4310438411833948,-0.275050338374896,189
LongShort,Method3_ConservativeQuality,Conservative Quality,0.08580855083620811,0.08580855083620811,0.13844315427075718,0.13844315427075718,0.6198107178950135,-0.2875024306567213,189
LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.08567211311723125,0.08567211311723125,0.13545350171379275,0.13545350171379275,0.6324835610248942,-0.2668478501135151,189
