sigma_firm,baseline,sigma0_half,sigma0_double,tau_double,nu_loose,betas_3x_wider
1,0.06210213581294386,0.06164268391455177,0.062022593281577304,0.06167208083914559,0.061939898950229284,0.06204035769904782
2,0.11756024304520982,0.11801063071751042,0.11848246525993027,0.11821244500748941,0.11843843840497145,0.11788046073293287
3,0.02753019198085436,0.027493319685004645,0.027532140319636574,0.027482145620165127,0.027560995955200163,0.027514224198212624
4,0.04012148087252477,0.04049938611645678,0.04045411717655317,0.040302461844292384,0.040109130928844716,0.040079512445405405
5,0.05956786483581739,0.059106301755129535,0.05979947368216687,0.05929438910970283,0.05948933573282447,0.05971948598219269
6,0.029138235950620785,0.02904221246472545,0.02881587801439426,0.029159690234626154,0.02896546975324902,0.029118274238140538
9,0.05185120709808326,0.05155374944586897,0.05203650228202872,0.05184961498870309,0.051658495568961675,0.05178552129976991
10,0.02067507658280231,0.02036906314486988,0.02074864703586683,0.02062654624722457,0.020731993878672784,0.020608046522170454
11,0.16943419755347205,0.1662200481580175,0.1689126702598461,0.16871784784979263,0.1689129439764808,0.1691712976488028
12,0.04860451350314671,0.04838127250487138,0.048786335262290585,0.04863323704101136,0.04863743733650185,0.048588807735851045
13,0.05377766236834859,0.05338978763395082,0.05331621384392031,0.05338023499762394,0.053506906130674166,0.05355543047746168
14,0.06839483478989722,0.06813702402288659,0.06840180507597837,0.06871614056555463,0.06897684529946246,0.06852130205048021
15,0.047500518518810826,0.04694855612108478,0.04778170281168666,0.04744128439557336,0.047192300260107935,0.04743818253228255
16,0.03120064405607344,0.030907482331151037,0.031124210709110728,0.031297807636297935,0.031066975907214935,0.03131772648442348
17,0.06816642191582864,0.06759738492451317,0.06875153680702144,0.06834132360313999,0.06842236545346597,0.06788072275730236
18,0.12174110346049186,0.12083391765923208,0.12157714088647215,0.12149516470573389,0.12175802274479101,0.12164707107764645
19,0.020855130770487673,0.021049893936552464,0.0211893920160521,0.02097464171541891,0.02129734484984688,0.020908721119061644
20,0.045620497543158424,0.045597106404390075,0.04590338651610706,0.04570755048371746,0.04580764818927433,0.0457854482490486
22,0.06403691593561697,0.06404279859647112,0.06440328300994674,0.06441319139969269,0.06453588825581566,0.0645093204915284
23,0.05302090530046922,0.05282421338330713,0.0531301378129163,0.05305697140799414,0.05316135304050767,0.052937593399500424
24,0.048581683112612815,0.04828750567798475,0.04855139077840687,0.04865397921226101,0.048572865340265274,0.04846792387402509
25,0.018206183884350285,0.01819688163852499,0.018504575582667854,0.018337892066313057,0.01818539218358459,0.01840358031074529
26,0.05387844011388321,0.054040375283630274,0.054589828956777574,0.05445873825349806,0.054523817198489824,0.05404763445684033
27,0.03726553313536854,0.03722976246756237,0.037545726663635,0.03703857318374478,0.037611191811996444,0.0375092537834436
28,0.01678357361024577,0.016754009822435578,0.016857074057749385,0.01669709114944755,0.016833951707723907,0.01682506320274723
29,0.06309683713630035,0.06289729881854957,0.06297087355175766,0.06336509344797854,0.06312935829849267,0.06315544270950361
33,0.02835097150720304,0.02805669463886927,0.02807425284404167,0.0282056316691537,0.027892559840123968,0.02789104299891049
34,0.04775859899461646,0.04788563123846977,0.04811421718240574,0.047934331513332616,0.04806287151844203,0.04806627893567616
35,0.09806630913983581,0.0971994097371959,0.09876962268382604,0.09802710274852011,0.09795652608652863,0.09803179609885079
36,0.05745070698549512,0.05701390107789343,0.05739740688539234,0.05730303842001814,0.05720510926749732,0.0572971599407356
37,0.09056384515458606,0.09040704038548039,0.09103486579665056,0.09095163579949606,0.09063398792340947,0.09067383169347137
38,0.03003492367928711,0.02972079330511802,0.029948948512942695,0.029999795939855693,0.030014147551972275,0.029941993072082788
39,0.06110815805188241,0.061011024002348445,0.06111655100361079,0.061145102564495096,0.06105379499053346,0.061628979832846265
40,0.036403250025607355,0.036288469618528114,0.03626774593371767,0.03618170401681365,0.03652446930239323,0.03601206968528951
