parameter,prior_dist,prior_sd,posterior_mean,posterior_sd,contraction
beta_PPE,Normal,0.3,-0.00024506658638846085,0.002227738355845283,0.9999448575757544
mu_0,Normal,0.1,0.0005544215761158228,0.0015507541540019487,0.9997595161553846
beta_dREV,Normal,0.3,0.059677105893575305,0.0053557908493323345,0.99968128338198
nu_minus_two,Exponential,10.0,0.6609722693384817,0.18836820585733274,0.9996451741902209
tau,HalfNormal,0.03014051374945435,0.007152067497310082,0.001087406340038062,0.9986983853732944
omega,HalfNormal,0.03014051374945435,0.0018902436470388732,0.0014143805536072265,0.9977979293331878
beta_CFO_curr,Normal,0.3,-0.27371177311849154,0.015757008434464728,0.9972412965021801
beta_CFO_lag1,Normal,0.3,0.26599763074837607,0.01578075472157896,0.9972329753379707
sigma_0,HalfNormal,0.03014051374945435,0.06337411512363054,0.013469214462135599,0.8002976227858827
