Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,sigma_acc,MarketCap,Method1_Raw_PortfolioNum,Method1_Raw_Portfolio,Method2_PostMean_PortfolioNum,Method2_PostMean_Portfolio,Method3_ProbQ5_PortfolioNum,Method3_ProbQ5_Portfolio
AAB.CO,2010,-0.5286506469500928,-0.6611817120048327,7.837394666210251e-05,0.0885265815479771,46.67,1,Q1,1,Q1,1,Q1
AAK.ST,2010,0.452191260105529,0.3704670704705977,0.5235957868349403,0.098353566463489,5195.33,5,Q5,5,Q5,5,Q5
ABB.ST,2010,-1.3306413948688984,-1.4781913639144613,0.0,0.058615769912047,244254.6,1,Q1,1,Q1,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-1.5578166838026937,1.0243250692099082e-11,0.0956706362800357,53.81,1,Q1,1,Q1,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.164498750540559,0.0252973285800346,0.0870730640271826,5221.41,1,Q1,1,Q1,2,Q2
ADDTb.ST,2010,0.4013059207623751,0.391102732971618,0.6327439072710092,0.0334279359482497,1193.13,5,Q5,5,Q5,5,Q5
AFAGR.HE,2010,-0.1006441223832528,-0.2104681280431594,0.0908031696201783,0.1770537838686171,4536.01,1,Q1,1,Q1,3,Q3
AFGA.OL,2010,0.3347653090225401,0.3205635618382786,0.4140042628884662,0.0457085320723282,2107.01,4,Q4,5,Q5,4,Q4
AFK.OL,2010,0.056797323631971,0.0368999576527183,0.1799825827620349,0.125172317659304,2736.16,2,Q2,2,Q2,3,Q3
AFRY.ST,2010,0.2271955287605978,0.2183078465676591,0.2088958381844177,0.05101691198095,2566.5,4,Q4,4,Q4,3,Q3
AGATE.CO,2010,0.0901279155578415,0.0803434546776708,0.2305972556617126,0.1396286258691168,726.11,2,Q2,2,Q2,4,Q4
AGFEb.CO,2010,-0.8359167404783003,-1.2930312179289882,2.973658872063023e-05,0.1672672127001852,248.02,1,Q1,1,Q1,1,Q1
AKAST.OL,2010,0.3014359311629946,0.2823416017184199,0.3540298291054582,0.0587448495596627,4308.16,4,Q4,4,Q4,4,Q4
AKVA.OL,2010,-0.1317019950124689,-0.1398867475768984,2.3436321322511944e-06,0.0322016836636808,344.46,1,Q1,1,Q1,1,Q1
ALFA.ST,2010,0.442248977475661,0.421144020581877,0.674397698740754,0.0456562135080286,33806.22,5,Q5,5,Q5,5,Q5
ALKb.CO,2010,0.2651136606835459,0.2382512807130372,0.32295302197238,0.0811960210137715,4193.19,4,Q4,4,Q4,4,Q4
AMBUb.CO,2010,0.296143174760671,0.2839966623213054,0.3256415359735558,0.0466235381820298,1268.2,4,Q4,4,Q4,4,Q4
ANODb.ST,2010,0.1014981890023048,0.0988539574442527,0.164804995555897,0.0854743602882454,435.05,3,Q3,3,Q3,3,Q3
ANOT.ST,2010,-0.0553134162770425,-0.1371980285825533,0.1158090295790817,0.1672289220457538,407.83,1,Q1,1,Q1,3,Q3
AOJb.CO,2010,0.8479012879513235,0.6509311709315866,0.8341981732646035,0.1054122011832845,283.52,5,Q5,5,Q5,5,Q5
APETIT.HE,2010,-0.0459806452746017,-0.0913132665128881,0.0782711581865704,0.1088156866720598,820.01,1,Q1,1,Q1,2,Q2
AQ.ST,2010,0.1390188392970034,0.1350887465663898,0.1813446771801106,0.0770616569985108,672.99,3,Q3,3,Q3,3,Q3
ARRA.OL,2010,-0.1187142145880011,-0.1809771543764757,0.0400327332202929,0.1047491493605755,18.04,1,Q1,1,Q1,2,Q2
ASPO.HE,2010,0.0557998702328599,0.039432125106562,0.1563022112570733,0.107373739098794,1142.93,2,Q2,2,Q2,3,Q3
ASSAb.ST,2010,0.2857785758439517,0.282344049374529,0.1990557914667562,0.0249142516292696,38660.27,4,Q4,4,Q4,3,Q3
ATCOa.ST,2010,0.4152508100352901,0.3707420798894287,0.5306398076516929,0.0725443668451345,70074.61,5,Q5,5,Q5,5,Q5
ATEA.OL,2010,0.0809811589050835,0.0787507597939074,0.0347830832581061,0.0459938887445964,4322.57,2,Q2,2,Q2,2,Q2
ATLA.CO,2010,0.1290395189555933,0.1261107107295966,0.2009328472889486,0.0896023555221263,474.39,3,Q3,3,Q3,3,Q3
ATRAV.HE,2010,0.2776042299073878,0.267679856161576,0.2791457995848823,0.0443394821173791,1698.75,4,Q4,4,Q4,4,Q4
ATRLJb.ST,2010,0.1145559804733623,0.1144663391144504,0.1637590564857848,0.0786877386290582,7005.12,3,Q3,3,Q3,3,Q3
