FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_cutoff_obs,median_sigma_raw,sigma_input_col,n_sigma_draws_used,tau2_floor_share
2010,321,0.10237917712944705,0.6087965682239697,0.33038563868004855,0.2784109295439211,0.352694980280632,0.1390188392970034,0.07351615497201,sigma_acc,1,0.0
2011,337,0.11510543966611214,1.0425010876704586,0.5286209183186432,0.5138801693518154,0.35046584964119276,0.1506982516833288,0.072061705658854,sigma_acc,1,0.0
2012,346,0.09581330575535497,0.37069091017098205,0.17276233477394073,0.1979285753970413,0.34516260631269,0.16723583842574025,0.0689928936584233,sigma_acc,1,0.0
2013,361,0.07173233555652624,0.3985720682969252,0.16906151132619965,0.22951055697072556,0.3129797605409168,0.1227721959098751,0.0662743193131842,sigma_acc,1,0.0
2014,370,-0.0020741583141043684,1.6337858054134524,0.9071424538633188,0.7266433515501336,0.2630946159200655,0.1056970470698751,0.0598118128349343,sigma_acc,1,0.0
2015,384,0.1361080440667931,1.2283628941485027,0.7791383428752644,0.44922455127323835,0.3001698358307645,0.1259040480961299,0.0500761751931984,sigma_acc,1,0.0
2016,423,0.04418148489864192,1.2956154725882651,0.9626357547219498,0.3329797178663153,0.2781882485734795,0.1188392632892891,0.0475013310500077,sigma_acc,1,0.0
2017,440,0.12367738804538184,0.5517024399211976,0.3138616480683219,0.2378407918528757,0.312638469177002,0.1360022878239116,0.04766053325856945,sigma_acc,1,0.0
2018,474,0.025287422025575823,0.6696031753589258,0.5277319432443135,0.14187123211461228,0.27436417439173394,0.10856310910533734,0.046740057325288895,sigma_acc,1,0.0
2019,497,0.07103357579203722,0.9096293560974975,0.8525894593942652,0.057039896703232285,0.2978264802429735,0.1110087236974219,0.0448010446629872,sigma_acc,1,0.0
2020,518,-0.25588217345227005,33.759051918518495,29.47577580161126,4.283276116907235,0.29591783133324695,0.12391117600145675,0.0463595719335758,sigma_acc,1,0.0
2021,540,0.07352357149588805,0.18989659807716758,0.15572582908258187,0.03417076899458571,0.2672174680484412,0.0970869888177311,0.047409518182083804,sigma_acc,1,0.0
2022,561,0.1132527185923989,1.849195548855263,1.8658140686348068,1e-08,0.2925150187217386,0.116463890414126,0.0468058175208598,sigma_acc,1,1.0
2023,588,-0.18962522436365498,52.73729420008758,53.366976729013295,1e-08,0.2888892376496719,0.12395141644072455,0.0458300867642157,sigma_acc,1,1.0
2024,610,0.16144385131553785,2.699941857716547,3.242868760522866,1e-08,0.28724124106585913,0.10449848326863835,0.04569309871299015,sigma_acc,1,1.0
2025,626,0.09230785390124717,0.556898738402826,0.6925440427075344,1e-08,0.2646208165871613,0.0905701123927164,0.04244821994766655,sigma_acc,1,1.0
