Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2014,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,139.22,77.1,215.21,,3.36,301.04,1141.31,89.05
2015,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,182.31,111.37,248.09,,5.52,306.18,1250.77,87.52
2016,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,135.51,46.52,265.14,,0.97,305.18,1211.63,76.26
2017,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,177.58,66.12,287.57,,4.51,333.98,1387.94,99.94
2018,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,208.03,127.43,404.7,29.28,0.0,273.54,2032.35,233.18
2019,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,169.17,80.24,405.73,14.06,0.98,267.71,1757.69,199.12
2020,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,231.62,150.74,431.49,15.66,1.79,274.14,1853.04,246.29
2021,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,110.16,31.53,445.12,14.61,0.55,227.61,1557.62,113.97
2022,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,99.81,32.85,380.44,11.86,0.67,216.18,1374.78,139.35
2023,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,103.25,35.0,382.62,34.01,0.73,164.81,1334.36,167.46
2024,ATIC.ST,Actic Group AB,Hotels & Entertainment Services,Consumer Discretionary,STX,114.81,49.63,408.64,25.64,0.34,145.08,1340.66,193.67
