Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2020,NETEL.ST,Netel Holding AB (publ),Construction & Engineering,Industrials,STX,676.64,93.98,499.13,53.25,14.62,83.54,1577.79,134.08
2021,NETEL.ST,Netel Holding AB (publ),Construction & Engineering,Industrials,STX,958.69,264.03,551.44,0.97,28.25,121.78,2078.14,114.25
2022,NETEL.ST,Netel Holding AB (publ),Construction & Engineering,Industrials,STX,1443.9,347.33,688.06,4.71,29.18,176.02,2935.81,-68.41
2023,NETEL.ST,Netel Holding AB (publ),Construction & Engineering,Industrials,STX,1516.19,449.02,922.2,9.06,23.16,174.17,3167.28,240.86
2024,NETEL.ST,Netel Holding AB (publ),Construction & Engineering,Industrials,STX,1377.65,268.33,777.24,8.22,0.0,166.55,3051.39,60.0
