Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2007,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,192.59,119.51,76.68,,,,557.83,-20.93
2008,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,378.8,315.74,35.09,4.32,,,839.91,-41.34
2009,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,256.93,158.68,57.56,,,0.83,732.59,13.45
2010,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,244.18,49.92,40.37,14.5,5.2,,747.93,41.41
2011,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,258.17,83.93,46.45,10.55,0.41,,859.18,11.96
2012,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,229.42,84.0,39.79,29.0,2.48,,801.14,36.49
2013,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,140.89,38.59,43.24,31.62,12.22,0.03,840.55,29.69
2014,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,95.13,29.31,40.15,38.94,7.66,0.25,727.02,32.1
2015,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,59.59,15.05,271.38,218.4,,0.18,515.82,34.41
2016,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,41.84,37.75,41.08,20.44,,0.16,311.61,11.6
2017,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,23.51,18.44,5.79,2.46,,0.08,243.21,-3.64
2018,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,7.36,4.32,166.39,161.35,,0.04,192.44,-4.14
2019,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,14.07,7.56,185.2,174.84,,0.03,232.6,4.21
2020,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,196.6,125.12,142.5,,24.61,0.17,3294.58,25.24
2021,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,258.84,207.51,60.88,0.0,2.91,,4333.19,77.68
2022,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,200.0,187.0,1984.0,1905.0,,,5781.0,279.0
2023,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,303.8,275.0,500.8,363.3,12.0,,6641.1,357.0
2024,KMCP.OL,Kmc Properties ASA,Real Estate Operations,Real Estate,OBX,7.0,6.0,1.0,0.0,0.0,,7.0,165.0
