Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,73.29,15.77,40.5,,,,109.96,-11.0
2005,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,81.84,31.49,35.54,,,,111.19,9.27
2006,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,94.61,28.59,35.2,,,2.34,131.18,8.15
2007,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,112.59,52.71,44.41,,0.0,,152.22,47.96
2008,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,148.87,50.21,72.94,,,,222.98,45.51
2009,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,120.8,47.89,46.32,,,,191.91,22.68
2010,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,153.36,37.51,88.63,,,,288.25,33.05
2011,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,133.94,27.63,68.56,,,,265.2,24.04
2012,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,152.65,29.73,80.26,,,6.75,273.49,26.61
2013,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,193.44,35.08,102.54,,,5.05,317.21,26.79
2014,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,197.79,45.76,104.93,,,4.64,317.92,36.77
2015,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,230.44,60.33,124.41,,,4.63,364.2,45.56
2016,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,215.23,59.06,115.61,,,10.21,339.03,41.78
2017,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,261.63,87.75,127.55,,,11.36,387.72,54.9
2018,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,281.02,110.28,132.11,,,8.11,402.09,61.21
2019,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,277.21,109.87,144.84,,,5.24,425.73,71.11
2020,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,391.26,208.61,175.06,,,3.24,538.39,105.5
2021,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,294.95,127.25,159.55,,9.22,1.33,417.02,111.52
2022,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,250.96,110.13,136.41,,0.0,5.04,408.37,76.59
2023,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,305.86,108.63,150.39,,,4.75,462.52,55.93
2024,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,312.79,139.23,144.39,,,6.64,463.53,116.31
