Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2006,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,444.84,383.83,79.15,28.28,0.23,53.59,558.39,-18.29
2007,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,284.76,198.08,54.04,10.95,0.87,128.17,523.2,-4.19
2008,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,167.17,17.34,122.29,24.49,5.29,294.07,690.29,-17.9
2009,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,141.59,31.85,102.42,28.14,2.86,272.89,574.27,-30.7
2010,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,84.4,3.4,105.91,37.72,0.0,269.08,517.52,17.04
2011,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,99.69,1.23,108.83,37.44,0.22,291.8,517.15,10.61
2012,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,77.03,0.82,104.26,41.53,0.63,322.62,459.67,-4.72
2013,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,108.22,15.49,86.22,30.689999999999998,0.68,371.05,545.32,9.77
2014,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,136.29,6.2,97.28,36.43,0.5,406.37,614.12,-4.24
2015,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,159.12,1.52,192.49,127.16,0.34,443.6,676.57,-10.57
2016,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,145.64,3.42,156.06,113.96,0.98,415.37,630.33,2.55
2017,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,187.08,8.14,151.25,93.46000000000001,0.98,548.05,815.65,15.78
2018,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,236.24,4.81,151.98,79.5,0.06,712.42,1027.69,11.94
2019,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,293.64,4.03,325.1,179.95999999999998,2.36,1028.15,1412.71,103.03
2020,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,264.54,10.92,272.35,141.63,0.0,1257.11,1607.84,67.88
2021,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,355.26,104.31,312.19,197.54,1.03,1043.9,1479.17,63.24
2022,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,412.95,30.83,358.31,222.08,6.8,1351.48,1891.82,94.75
2023,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,423.72,38.83,198.76,84.49,2.69,1651.01,2265.38,158.54
2024,FFARMS.CO,Firstfarms A/S,Food & Tobacco,Consumer Staples,652.61,217.31,231.87,110.82000000000002,1.49,1783.83,2658.92,73.32
