Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,263.67,31.66,229.75,,,214.63,508.19,34.05
2005,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,190.47,16.46,190.73,,,228.89,448.58,26.4
2006,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,240.12,33.93,228.22,,5.36,,483.67,37.59
2007,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,195.9,15.44,162.47,,3.74,,420.29,18.29
2008,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,224.92,15.36,176.19,,0.05,,535.98,6.91
2009,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,154.65,13.97,151.48,,0.29,,401.09,12.11
2010,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,155.06,14.91,132.84,,0.35,,361.64,22.83
2011,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,133.82,19.84,118.68,,0.7,,302.01,46.61
2012,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,126.13,35.47,122.44,,0.3,,251.21,40.84
2013,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,125.66,26.97,121.48,14.27,1.39,132.18,279.19,-9.32
2014,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,94.06,8.83,101.06,15.95,0.42,131.11,252.25,-6.36
2015,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,87.69,10.73,114.79,29.28,0.54,109.3,239.35,16.33
2016,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,65.33,3.56,78.3,8.17,0.23,87.27,181.1,4.29
2017,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,108.22,30.95,102.88,11.6,2.1,83.81,217.41,32.22
2018,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,107.49,40.77,97.71,4.46,2.5,80.23,214.29,36.56
2019,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,137.25,69.41,105.31,4.43,1.11,114.56,274.69,49.06
2020,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,171.12,73.85,153.31,4.19,0.0,143.25,341.84,64.05
2021,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,238.98,69.43,185.51,4.0,0.64,121.98,386.66,73.4
2022,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,240.48,61.15,166.23,4.19,3.89,119.96,383.46,46.82
2023,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,172.44,59.54,120.04,4.47,-0.06,136.55,336.09,-26.45
2024,HONBS.HE,Honkarakenne Oyj,Homebuilding & Construction Supplies,Other,HEX,141.63,58.48,105.64,4.71,0.01,137.58,312.71,-4.12
