Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2012,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,123.38,57.61,248.02,,1.71,172.18,699.58,38.44
2013,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,206.47,94.4,224.64,,13.8,206.27,887.28,128.26
2014,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,239.69,99.08,377.71,,8.0,319.37,1181.16,78.57
2015,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,355.99,147.17,462.55,,6.42,466.64,1776.99,158.44
2016,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,512.29,250.04,545.48,,12.1,413.13,1977.12,299.9
2017,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,632.66,365.0,723.11,,12.84,609.58,2496.54,326.01
2018,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,778.74,359.65,998.69,,18.82,429.0,4327.67,395.58
2019,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,750.41,265.74,1229.07,34.0,4.16,523.88,4314.57,362.69
2020,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,988.57,139.4,1384.16,37.15,20.99,460.91,4623.53,502.96
2021,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,1006.52,42.62,1483.05,29.81,32.86,450.41,4575.91,578.57
2022,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,1065.21,137.64,1678.19,79.55,0.31,615.82,6936.8,654.9
2023,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,1034.31,274.22,1781.63,105.27,1.33,736.05,7354.14,901.21
2024,PIHLIS.HE,Pihlajalinna Oyj,Healthcare Providers & Services,Other,HEX,1146.5,363.69,1821.76,86.86,9.39,747.97,7415.13,1171.74
