Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,ENEA.ST,Enea AB,Software & IT Services,Information Technology,336.58,125.55,202.67,,0.17,,443.98,23.54
2005,ENEA.ST,Enea AB,Software & IT Services,Information Technology,308.81,151.22,139.03,,2.65,,427.09,44.54
2006,ENEA.ST,Enea AB,Software & IT Services,Information Technology,375.06,133.3,164.37,,3.14,,509.89,4.83
2007,ENEA.ST,Enea AB,Software & IT Services,Information Technology,356.84,131.17,152.04,,4.06,,525.04,57.55
2008,ENEA.ST,Enea AB,Software & IT Services,Information Technology,397.93,108.57,166.46,,,,682.04,69.95
2009,ENEA.ST,Enea AB,Software & IT Services,Information Technology,333.88,124.56,120.3,,,,563.63,57.89
2010,ENEA.ST,Enea AB,Software & IT Services,Information Technology,278.26,153.14,62.99,,,7.72,573.26,63.93
2011,ENEA.ST,Enea AB,Software & IT Services,Information Technology,238.05,110.46,78.28,,1.03,12.9,490.31,66.69
2012,ENEA.ST,Enea AB,Software & IT Services,Information Technology,248.19,125.62,73.4,,6.13,11.71,393.53,68.84
2013,ENEA.ST,Enea AB,Software & IT Services,Information Technology,286.85,154.18,53.23,,1.5,9.31,413.97,69.13
2014,ENEA.ST,Enea AB,Software & IT Services,Information Technology,337.07,172.92,83.88,,1.96,7.39,483.04,106.72
2015,ENEA.ST,Enea AB,Software & IT Services,Information Technology,344.34,138.98,123.74,,1.19,6.91,563.66,100.04
2016,ENEA.ST,Enea AB,Software & IT Services,Information Technology,420.01,211.94,267.63,,6.41,10.33,932.24,125.82
2017,ENEA.ST,Enea AB,Software & IT Services,Information Technology,556.26,312.2,175.91,,,9.61,1174.56,112.91
2018,ENEA.ST,Enea AB,Software & IT Services,Information Technology,489.39,72.87,299.83,,1.07,15.8,1873.35,157.93
2019,ENEA.ST,Enea AB,Software & IT Services,Information Technology,478.58,137.04,328.08,,2.28,16.33,2075.77,228.09
2020,ENEA.ST,Enea AB,Software & IT Services,Information Technology,577.04,203.69,432.15,,0.9,22.19,2437.21,280.61
2021,ENEA.ST,Enea AB,Software & IT Services,Information Technology,648.22,205.93,602.22,,2.87,24.98,2955.28,334.48
2022,ENEA.ST,Enea AB,Software & IT Services,Information Technology,731.1,217.72,301.56,,4.88,20.27,3123.09,158.52
2023,ENEA.ST,Enea AB,Software & IT Services,Information Technology,669.96,263.56,324.22,,0.0,18.6,2599.73,262.22
2024,ENEA.ST,Enea AB,Software & IT Services,Information Technology,624.68,166.06,374.08,52.76,3.72,17.41,2616.38,283.95
