Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,1199.43,114.51,1015.73,,11.53,1650.87,3540.63,322.98
2005,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,1482.69,102.2,1465.13,713.8,1.6,2126.23,3866.02,230.67
2006,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,1522.4,99.52,1710.75,627.55,7.4,2422.19,4519.5,518.03
2007,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,3524.29,421.8,2623.59,571.66,0.79,3778.8,8956.21,974.92
2008,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,4101.69,724.23,2759.05,798.98,4.85,4653.11,10644.97,512.25
2009,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,3225.47,522.51,2446.68,729.03,22.39,3890.63,8905.91,850.03
2010,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,3692.22,524.12,3275.57,1191.54,21.03,4188.3,9884.33,590.62
2011,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,3588.28,371.36,3515.56,1412.72,0.77,3996.01,9694.08,420.0
2012,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,3322.0,432.32,3398.34,1470.1699999999998,3.67,3703.68,8946.51,798.2
2013,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2985.87,572.83,3431.96,4834.429999999999,0.83,3431.13,9190.25,865.19
2014,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2388.98,148.24,2312.15,,,3341.68,7812.31,528.97
2015,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2463.37,91.2,2448.01,2853.1299999999997,8.64,3473.29,8038.1,597.5
2016,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2239.15,59.93,2527.9,310.54,2.72,3647.48,7761.68,658.53
2017,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2819.65,501.12,2931.88,334.74,6.89,4511.04,9379.46,426.39
2018,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2790.99,291.29,3070.39,,,4740.82,9674.84,-137.3
2019,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2761.27,369.02,2762.25,525.49,0.98,4321.0,9206.86,582.82
2020,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,3019.24,490.29,3441.43,1156.57,10.48,4805.43,10223.71,683.07
2021,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2999.44,272.31,3821.38,1725.97,22.03,4602.28,9867.32,554.83
2022,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,,,,,,,,190.77
2023,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2249.31,321.01,2006.6,371.35,15.66,3186.62,9526.3,577.21
2024,HKFOODS.HE,HKFoods Oyj,Food & Tobacco,Consumer Staples,HEX,2078.04,431.85,1582.66,238.87,0.0,2960.57,6209.42,706.47
