Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2013,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,43.38,18.38,81.39,38.42,2.96,3.79,1344.65,44.97
2014,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,59.17,26.54,44.03,14.11,1.3,6.19,1599.97,14.51
2015,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,22.72,1.31,78.74,16.21,0.34,4.39,2407.23,64.71
2016,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,41.64,22.02,132.37,38.62,2.82,4.46,3299.2,72.22
2017,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,115.07,44.13,144.39,43.23,3.1,5.199999999999999,4864.14,83.37
2018,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,87.34,29.28,213.71,65.97,6.83,5.96,5894.68,142.06
2019,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,199.91,166.62,3620.97,3483.32,15.19,6.47,7895.12,138.84
2020,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,372.05,292.48,1734.31,1552.31,18.8,7.2,10758.61,182.69
2021,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,259.55,85.15,3646.92,3324.63,15.39,12.76,13231.87,262.28
2022,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,180.82,84.71,3038.87,2805.35,8.94,12.05,12987.29,419.2
2023,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,301.53,110.54,2191.83,1895.54,23.26,13.79,13721.8,128.29
2024,TRIANb.ST,Fastighets AB Trianon,Real Estate Operations,Real Estate,259.18,128.0,3629.18,3317.25,41.74,16.55,14693.75,132.62
