Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2011,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,2012.22,295.02,1263.38,119.74,31.24,752.3,7358.16,267.75
2012,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,2019.38,370.66,1314.01,187.47,32.53,755.87,7127.31,364.39
2013,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,2092.25,362.85,1392.01,271.43,43.35,839.73,7572.63,351.98
2014,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,1710.93,109.27,1266.18,279.88,66.14,535.8,6663.5,326.1
2015,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,1877.54,286.76,1051.8,18.84,135.01,507.58,7220.24,632.94
2016,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,2428.64,723.57,1234.71,32.24,256.99,549.08,7475.59,862.16
2017,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,2130.38,581.38,1201.78,29.02,217.14,645.42,7289.71,941.23
2018,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,2038.57,181.51,1120.29,27.32,76.12,759.22,7511.19,567.5
2019,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,2079.74,251.29,1071.75,60.95,13.13,959.23,7768.54,958.5
2020,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,2892.44,737.21,1673.85,90.85,151.41,1078.66,8821.41,1651.9
2021,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,3724.67,145.17,2146.34,77.94,160.76,1440.96,9929.85,1130.49
2022,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,4089.8,165.66,1499.44,100.72,107.3,1889.12,10993.04,585.29
2023,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,3693.82,94.64,1484.98,136.92,78.53,2136.35,11040.18,1841.26
2024,THULE.ST,Thule Group AB,Automobiles & Auto Parts,Consumer Discretionary,STX,3692.92,416.38,1730.28,79.16,52.43,2404.72,15377.23,2349.26
