Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2009,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,17934.16,3750.26,22207.27,31938.56,341.14,2234.11,60595.08,4375.66
2010,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,17859.85,3768.88,20829.17,30343.34,429.56,2147.82,57959.84,4338.99
2011,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,18694.7,4201.21,22033.18,29327.28,439.17,2161.48,57216.34,3845.94
2012,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,18746.77,3472.94,20898.66,23636.25,333.71,1857.55,53046.95,3871.83
2013,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,19635.93,3663.57,23476.14,22824.37,500.85,1917.31,54295.07,3890.88
2014,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,19964.75,4318.31,19119.78,18073.29,206.39,1988.58,56736.55,2685.4
2015,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,24536.56,5822.19,21122.49,19200.62,496.55,2074.94,63399.62,4444.96
2016,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,24001.86,5257.67,20211.45,18407.94,414.5,1922.1,59646.38,4604.24
2017,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,28501.8,8300.79,22428.67,22871.82,369.07,2107.28,67246.31,4532.74
2018,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,30433.88,9067.67,23176.03,23063.25,449.8,2067.23,66091.55,4312.48
2019,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,26387.91,3518.21,24172.88,21488.76,363.68,5892.68,65964.5,2722.02
2020,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,23047.02,3860.65,23318.75,24421.19,199.93,4992.65,61394.41,-519.44
2021,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,21938.32,4615.76,22472.87,21670.37,234.29,4545.74,58780.9,4402.11
2022,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,25865.17,7352.98,24562.11,22486.24,242.56,,66288.24,4523.55
2023,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,30218.33,9142.93,31364.76,20148.05,232.59,,71566.33,5194.71
2024,ISS.CO,ISS A/S,Professional & Commercial Services,Industrials,COX,33723.72,10776.76,35191.35,21436.74,662.8,,79915.92,5807.47
