Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2020,SYNACT.ST,SynAct Pharma AB,Pharmaceuticals,Health Care,STX,22.27,15.19,5.98,,,,22.55,-34.02
2021,SYNACT.ST,SynAct Pharma AB,Pharmaceuticals,Health Care,STX,34.02,23.38,14.99,,,,37.38,-65.14
2022,SYNACT.ST,SynAct Pharma AB,Pharmaceuticals,Health Care,STX,132.0,101.89,14.13,,,,134.22,-111.69
2023,SYNACT.ST,SynAct Pharma AB,Pharmaceuticals,Health Care,STX,75.57,62.82,25.11,,,,229.56,-99.7
2024,SYNACT.ST,SynAct Pharma AB,Pharmaceuticals,Health Care,STX,96.64,62.93,29.26,,,,278.12,-90.71
