Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2016,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,1.79,0.88,2.96,,,0.0,4.97,-5.93
2017,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,10.96,9.56,2.8,,,1.04,15.49,-24.77
2018,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,7.63,6.11,2.08,,,2.21,12.43,-22.51
2019,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,12.19,10.24,4.37,,,2.48,18.39,-27.58
2020,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,419.86,416.93,6.05,,,9.44,444.36,-69.19
2021,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,192.68,190.47,14.64,,,102.07,298.22,-152.83
2022,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,366.46,362.52,8.75,,,100.3,470.67,-153.97
2023,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,311.69,160.8,324.32,273.51,,292.63,820.6,-267.08
2024,AMRQM.IC,Amaroq Ltd,Metals & Mining,Materials,ISX,520.68,357.2,371.27,226.22,,1271.3,2023.2,-47.25
