Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2015,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,151.75,131.87,4175.79,1041.33,,,11720.47,570.79
2016,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,282.6,239.92,5083.94,2364.16,,,10764.36,513.56
2017,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,222.14,160.1,6131.96,2966.92,,,13640.81,461.9
2018,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,236.16,187.37,1167.13,912.43,,,16936.04,1130.32
2019,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,595.42,551.35,451.95,123.77,,,20817.05,606.74
2020,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,430.21,325.79,1576.74,969.02,,,33317.31,1296.75
2021,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,708.3,520.26,5199.73,4435.89,,,39581.05,1392.07
2022,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,894.2,650.41,1959.71,1012.8,,,42672.26,1562.04
2023,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,767.15,437.94,1920.91,483.25,,,43971.45,1533.72
2024,NYFO.ST,Nyfosa AB,Real Estate Operations,Real Estate,719.67,463.67,1461.95,233.38,,,44543.27,1413.63
