Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2014,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,39.69,35.87,28.06,,,2.21,93.74,-57.63
2015,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,387.66,382.63,20.19,,,2.43,435.64,195.9
2016,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,641.23,625.07,23.32,,,4.12,664.56,-36.93
2017,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,533.66,473.22,25.09,,,13.75,643.45,-96.48
2018,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,407.47,354.12,38.89,,,15.42,495.89,-97.5
2019,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,193.15,184.6,38.39,,,11.37,291.73,-166.54
2020,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,115.22,107.91,32.08,,,8.98,158.65,-144.67
2021,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,291.91,270.99,46.2,,,4.24,324.63,-127.31
2022,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,115.6,91.59,60.74,,,1.3,159.62,-164.0
2023,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,78.72,66.57,99.75,,,2.72,119.25,-188.39
2024,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,STX,73.4,66.12,207.11,,,1.8,107.27,-216.04
