Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2013,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,25.27,5.08,14.5,,0.0,2.26,120.73,-10.25
2014,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,224.23,162.81,51.68,,1.58,4.7,383.78,0.91
2015,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,224.59,131.39,65.91,,5.18,3.28,408.35,-18.18
2016,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,157.19,85.59,33.43,,0.0,1.59,327.39,-34.65
2017,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,169.29,79.68,38.54,,0.61,1.31,278.38,-2.17
2018,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,152.22,47.12,35.0,,1.37,1.22,264.63,2.54
2019,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,414.35,95.95,103.24,,3.26,4.91,557.93,-23.45
2020,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,729.6,262.84,335.69,74.36,7.78,10.4,1021.08,79.75
2021,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,714.67,174.5,312.6,73.39,3.51,10.01,1013.56,2.52
2022,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,840.24,303.44,421.93,130.66,4.3,20.58,1243.45,185.28
2023,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,1091.89,285.37,613.19,110.94,9.43,107.56,1829.54,121.9
2024,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,OBX,1198.1,221.34,776.55,166.31,6.04,116.26,2109.72,95.3
