Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2014,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,6289.55,694.99,7189.19,,71.05,5183.16,15453.42,674.29
2015,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,7241.87,1305.59,3551.64,,128.5,5602.21,14476.85,1820.17
2016,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,7101.9,1230.67,2955.08,,99.39,5909.09,14813.34,1303.96
2017,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,11513.0,1751.0,11003.0,,139.0,11950.0,25507.0,2256.0
2018,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,16656.0,7082.0,8824.0,,330.0,12445.0,31129.0,4460.0
2019,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,13311.0,4496.0,6516.0,939.0,51.0,13202.0,29004.0,1839.0
2020,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,12873.0,3154.0,9471.0,3195.0,65.0,14131.0,30888.0,2111.0
2021,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,21497.0,7040.0,12252.0,1836.0,914.0,15722.0,41850.0,4913.0
2022,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,26645.0,9255.0,11832.0,84.0,1903.0,19520.0,52781.0,9314.0
2023,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,21455.0,6367.0,10576.0,1078.0,240.0,22754.0,50500.0,2769.0
2024,ELK.OL,Elkem ASA,Chemicals,Materials,OBX,13923.0,4397.0,4698.0,1000.0,106.0,8405.0,53432.0,2030.0
