Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
1997,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,152.53,26.04,66.56,,11.43,21.2,232.61,56.85
2005,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,915.21,328.57,461.1,,160.22,-129.25,1413.92,322.88
2006,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,954.26,282.59,422.22,,,,1490.89,159.13
2007,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,1114.0,309.01,485.41,,122.22,-190.08,1721.1,356.86
2008,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,1141.24,238.72,566.87,0.0,127.15,-218.79,1866.86,409.93
2009,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,1116.55,74.79,753.34,169.58,29.92,-247.86,2090.19,287.06
2010,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,1203.64,80.55,820.53,139.74,99.55,-287.07,2317.76,496.12
2011,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,1512.49,115.36,953.69,227.68,61.68,,2800.43,301.41
2012,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,1309.3,95.18,865.77,25.54,86.07,,2602.0,826.14
2013,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,1462.66,110.9,966.56,0.0,33.91,1202.06,2766.36,448.89
2014,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,1771.28,327.81,1095.06,,40.71,1181.34,3081.71,634.52
2015,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2105.89,467.8,1250.32,,87.07,1111.08,3382.07,592.57
2016,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2509.68,604.97,1590.66,,111.72,1128.45,3927.15,695.24
2017,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2400.81,606.02,1378.5,,38.2,1031.81,3780.37,670.13
2018,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2281.77,106.09,1565.09,0.0,32.34,953.95,3847.41,361.95
2019,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2128.92,95.46,1658.99,257.38,39.18,828.77,3615.54,289.56
2020,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2174.0,84.08,2219.97,70.54,49.86,2981.77,6069.97,1222.4
2021,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2427.58,524.19,2140.34,0.0,84.84,2653.14,6017.04,1323.32
2022,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2664.41,435.58,2158.43,,50.27,2305.24,5674.72,967.3
2023,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2582.49,148.4,2473.6,253.46,42.73,2297.71,5299.07,907.78
2024,CLASb.ST,Clas Ohlson AB,Specialty Retailers,Consumer Discretionary,STX,2820.97,172.03,2549.88,0.0,51.9,2443.66,5896.11,1492.86
