Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2003,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,21103.98,2758.98,8259.33,,264.22,,33886.52,1581.14
2004,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,19548.2,2809.56,8948.4,,444.82,,31981.16,2261.01
2005,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,20823.04,2020.15,8869.45,,389.76,9441.78,34262.66,2281.99
2006,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,27212.79,8130.97,10967.24,,,10369.03,42100.74,4374.32
2007,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,23629.53,,10791.69,,,10058.34,38964.3,4269.6
2008,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,30395.52,,12714.15,,,12943.57,49885.58,3153.54
2009,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,24193.24,3584.36,11630.98,,457.15,11273.35,41276.82,6584.83
2010,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,24921.69,2078.04,11828.76,,730.57,11211.85,47201.37,4661.79
2011,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,28936.33,4186.69,11492.79,,707.18,11346.15,51519.3,4824.61
2012,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,29830.95,7057.12,11901.39,,325.29,11202.02,52009.85,5330.98
2013,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,32591.98,5060.04,15777.64,,408.08,13283.9,66905.82,4796.89
2014,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,37196.58,5674.33,15433.79,,,14839.52,78251.12,4406.44
2015,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,39929.54,7554.1,16044.87,,,16015.56,83445.66,7391.65
2016,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,40871.58,9425.34,16479.88,1169.28,,14932.22,79570.56,7020.99
2017,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,42848.67,7116.6,20532.26,2434.58,,15772.19,81255.47,6225.5
2018,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,46095.71,10139.18,20382.78,2122.5,,16285.15,85068.61,7814.83
2019,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,44861.54,6029.17,21697.52,2229.76,951.73,17271.75,88241.58,8756.79
2020,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,48970.92,14671.02,22600.68,2271.14,1072.39,18963.73,94559.68,8459.08
2021,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,52405.48,12878.99,23894.19,3096.2599999999998,947.0,20189.98,97065.44,5259.58
2022,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,56282.95,9652.67,23004.52,160.02,691.83,23434.68,104407.96,5359.77
2023,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,60322.32,13401.04,27800.8,3192.4500000000003,971.53,27001.43,112659.99,13717.9
2024,SKFb.ST,SKF AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,STX,61891.36,11340.92,30843.9,4042.48,975.66,31326.07,122767.98,10975.44
