Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,187.92,92.19,47.91,,2.15,,297.26,80.75
2005,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,179.94,25.13,61.41,,12.3,,303.46,51.67
2006,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,205.92,42.01,73.4,,7.45,,348.09,57.16
2007,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,208.64,49.12,67.74,,6.35,,311.25,63.79
2008,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,208.36,44.36,58.47,,0.0,,327.13,88.53
2009,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,210.95,66.24,60.35,,9.77,64.32,312.39,66.26
2010,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,145.68,6.54,72.63,,5.72,62.05,245.71,54.44
2011,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,160.64,18.55,76.77,,0.22,,247.51,47.7
2012,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,150.94,14.39,83.22,,0.0,47.72,232.88,34.0
2013,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,175.86,42.01,83.62,,,39.08,255.98,54.04
2014,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,192.28,40.72,95.28,34.92,5.46,46.36,283.03,40.12
2015,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,187.28,8.33,89.25,9.32,6.35,44.0,287.1,49.99
2016,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,235.93,16.14,131.43,34.21,1.85,66.58,459.16,58.45
2017,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,271.98,16.16,178.47,56.53,2.82,69.73,505.19,58.88
2018,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,270.26,20.76,191.84,84.0,0.0,68.65,495.42,51.6
2019,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,277.09,34.06,192.97,87.28,2.19,70.47,506.85,56.51
2020,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,348.4,60.98,262.16,109.4,2.77,74.65,704.24,96.35
2021,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,1024.0,311.66,1180.2,699.49,5.03,275.2,2300.95,96.39
2022,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,914.01,188.56,458.67,57.51,11.96,271.59,2156.34,228.28
2023,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,1083.07,218.41,1034.24,579.46,3.96,381.27,2940.41,194.72
2024,SVEDb.ST,Svedbergs Group AB,Homebuilding & Construction Supplies,Other,STX,1194.23,242.12,705.39,239.95,2.45,433.68,3208.52,191.96
