Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,824.17,398.44,392.29,,0.22,,2176.07,198.17
2005,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,1747.6,667.61,2557.1,,17.39,,6325.02,555.99
2006,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,8880.57,7275.55,1106.68,,152.85,,14780.54,1378.86
2007,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,7583.45,5794.9,3005.74,,480.41,,17945.34,3055.11
2008,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,4721.0,497.0,5846.0,,300.0,,30209.0,1917.41
2009,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,6848.0,1688.0,4153.0,,142.0,,34134.0,1286.0
2010,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,7231.0,849.0,3271.0,,200.0,,36865.0,2485.0
2011,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,6936.0,1596.0,2767.0,,29.0,15425.0,24470.0,3098.0
2012,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,5017.27,1905.88,1333.45,,1.11,7389.33,13752.85,1306.0
2013,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,1726.47,373.68,1375.23,,0.0,6535.83,9248.68,-7.05
2014,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,2613.71,720.3,667.25,,19.43,7252.32,11015.22,553.01
2015,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,2749.18,843.32,1051.05,,0.0,6629.85,10892.4,12.9
2016,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,1984.78,568.31,690.96,,,5140.74,9246.77,31.91
2017,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,1972.96,857.63,2311.91,,213.38,4434.24,6567.24,320.71
2018,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,1370.96,274.71,984.81,,211.65,1262.98,3086.61,-82.22
2019,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,995.47,258.08,1016.54,196.64,213.32,1055.16,2551.0,-114.37
2020,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,1785.92,1157.16,511.24,255.62,0.0,818.33,2928.5,-20.7
2021,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,1564.07,973.14,383.09,99.52,,731.84,2597.1,-125.48
2022,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,1640.91,1031.57,1570.38,1087.41,,1184.4,3133.9,-404.47
2023,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,2642.22,1732.09,1062.16,313.17,,2621.95,5603.7,-907.42
2024,RECSI.OL,REC Silicon ASA,Chemicals,Materials,OBX,725.13,117.07,2041.28,1147.94,,962.67,1956.04,-1418.18
