Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
1998,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,584.84,88.02,259.05,,,,1258.42,72.85
1999,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,953.58,180.95,407.51,,,,1576.88,-23.82
2000,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,995.17,200.22,539.01,,,,1574.84,101.74
2001,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,807.4,113.71,373.43,,,627.92,1339.71,162.73
2002,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,1097.45,82.36,701.73,,,1009.46,1912.16,-45.24
2003,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,1174.21,105.34,834.59,,,1101.22,2096.13,90.04
2004,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,798.25,79.91,1000.08,191.12,11.53,1153.3,1774.44,235.96
2005,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,863.91,89.42,1149.75,237.93,19.16,1210.42,1853.97,143.37
2006,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,1001.77,61.69,1270.72,403.01,8.22,1118.56,1953.38,-51.48
2007,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,845.2,40.44,842.82,223.59,5.55,777.0,1632.51,84.92
2008,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,1048.48,83.49,810.63,102.9,6.8,945.58,1864.93,26.35
2009,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,818.6,65.52,266.23,,12.44,,1460.54,253.09
2010,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,813.05,58.41,626.92,14.02,7.79,454.8,1494.49,16.81
2011,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,769.8,71.95,276.97,,2.32,580.26,1437.48,67.01
2012,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,895.46,38.17,530.67,,1.47,731.04,1710.18,-112.85
2013,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,827.14,23.35,404.4,,1.67,381.88,1704.31,224.11
2014,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,878.58,123.83,414.89,84.97,5.42,743.0,1678.52,193.04
2015,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,1140.48,128.64,681.6,,0.0,840.96,1899.85,-135.96
2016,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,908.92,41.77,517.57,,0.0,866.24,1668.02,205.27
2017,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,787.61,154.57,349.5,,0.0,738.38,1523.04,198.73
2018,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,948.16,25.76,563.75,,0.0,737.14,1630.8,-206.43
2019,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,1046.06,28.54,704.59,305.06,0.0,732.14,1680.77,-59.07
2020,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,786.76,11.52,454.67,172.85,,852.76,1496.0,287.38
2021,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,892.02,75.09,615.71,291.33,,824.94,1572.8,52.84
2022,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,549.38,155.17,207.59,0.0,,832.46,1229.8,288.68
2023,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,628.6,156.59,233.77,0.0,,1046.92,1466.36,125.48
2024,APETIT.HE,Apetit Oyj,Food & Tobacco,Consumer Staples,HEX,691.9,48.24,245.93,0.0,,1131.98,1587.36,68.56
