Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2013,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,140.17,8.38,162.43,69.28,0.01,69.99,577.63,-31.87
2014,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,164.72,7.98,215.75,81.27000000000001,,75.91,614.06,33.73
2015,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,218.33,29.47,263.74,129.49,0.78,71.92,703.1,-2.2
2016,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,229.26,20.6,255.4,56.14,2.37,80.71,677.36,60.15
2017,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,366.72,106.55,306.68,0.0,14.26,130.43,885.93,150.43
2018,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,403.39,84.93,296.3,4.83,24.28,183.75,1037.54,26.19
2019,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,430.18,111.98,270.04,19.46,14.56,176.44,1036.94,90.36
2020,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,626.05,223.59,392.85,21.68,36.78,179.93,1277.4,114.36
2021,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,483.03,114.47,291.0,0.74,13.45,186.57,1213.55,62.65
2022,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,434.33,48.82,349.46,5.0,3.35,226.97,1220.44,145.39
2023,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,409.91,2.82,252.44,9.95,0.82,234.0,1275.78,-26.01
2024,BALCO.ST,Balco Group AB,Construction & Engineering,Industrials,STX,554.51,105.96,329.9,16.98,1.22,298.51,1678.56,86.73
