Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
1995,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,1320.37,,541.28,431.15,44.69,,2206.39,113.59
1999,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,3212.53,,1483.45,26.46,74.94,1372.83,5030.64,934.86
2000,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,4354.34,,2699.39,69.47,67.59,2020.61,7515.34,1255.07
2001,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,3570.64,,3244.64,54.67,49.53,2877.16,8539.5,1839.69
2002,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,4134.11,,3073.0,41.84,108.29,3061.63,9083.65,1306.96
2003,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,5744.53,,3840.58,428.58,101.74,4079.32,12455.63,2046.7
2004,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,6598.23,,3105.99,425.03,58.07,3842.79,12755.24,3012.49
2005,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,6290.31,490.56,3465.4,404.57,,3727.01,12452.02,2229.75
2006,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,6099.92,,2974.58,1575.75,143.47,4046.64,12836.2,1503.89
2007,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,7021.7,,2807.89,1977.47,76.82,3590.54,13114.35,2909.24
2008,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,9315.55,609.29,3158.67,2417.61,40.45,4074.57,16342.65,3071.91
2009,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,6861.73,2185.05,5074.67,2069.11,134.89,3399.09,19093.57,3557.28
2010,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,7061.16,839.27,4229.8,1941.92,78.39,3183.58,18818.27,3510.11
2011,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,9161.07,2567.35,4887.01,1984.57,,2928.46,21369.23,3791.53
2012,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,9037.71,2704.13,4903.26,,49.22,2749.41,21226.46,2121.22
2013,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,12703.43,5385.24,7286.89,,64.84,3105.71,26438.75,3938.01
2014,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,11394.9,4432.43,8743.46,,59.49,3307.02,31124.13,1805.22
2015,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,9853.73,1934.73,9966.93,106.77,91.33,2889.23,27432.22,236.28
2016,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,9199.69,2689.97,9507.82,103.93,191.97,2643.51,24711.03,3900.5
2017,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,11699.15,2850.71,8570.65,0.0,71.43,2632.44,26133.93,5074.71
2018,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,15456.44,4783.28,10052.19,,95.53,2677.58,30532.07,7706.28
2019,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,11909.21,3963.59,13545.77,,726.04,3523.48,50247.18,3440.77
2020,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,14227.51,5524.86,14096.57,,950.38,3847.97,50727.65,5521.02
2021,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,11595.95,3068.64,11873.32,,698.83,3914.24,46659.82,3105.12
2022,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,16093.64,5003.52,11562.54,,754.48,3546.75,52816.23,4775.99
2023,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,19940.98,7517.82,11989.5,,856.82,3749.91,56131.55,6248.35
2024,HLUNa.CO,H Lundbeck A/S,Pharmaceuticals,Health Care,20530.92,7360.2,13539.99,,498.68,4293.98,89913.1,5182.63
