Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,156.82,54.38,98.47,,,32.16,231.44,48.97
2005,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,180.9,35.49,123.85,,,27.87,300.08,1.15
2006,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,249.98,50.78,176.16,,3.14,,454.2,54.49
2007,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,303.92,57.43,237.92,25.13,11.27,,574.25,78.39
2008,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,392.8,18.24,391.84,64.41,2.94,-0.02,765.79,75.4
2009,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,218.75,55.15,250.81,32.84,3.69,,511.75,18.14
2010,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,217.41,39.08,243.32,37.92,5.69,,526.87,16.57
2011,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,193.81,23.39,244.6,46.3,3.61,,507.17,54.79
2012,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,201.39,39.65,249.88,49.4,7.34,12.88,560.54,84.74
2013,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,222.49,8.13,289.62,67.84,3.49,17.03,621.13,13.97
2014,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,256.14,23.28,329.39,81.14,0.85,16.87,682.2,64.8
2015,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,357.9,84.55,458.43,134.19,8.9,20.92,888.13,88.84
2016,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,493.27,43.13,489.93,86.03,8.92,26.42,1221.12,52.58
2017,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,621.79,99.18,617.57,138.32,16.49,34.69,1421.9,170.31
2018,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,689.27,159.66,618.02,108.42,17.66,40.27,1590.82,221.36
2019,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,771.71,156.25,851.58,155.06,23.94,169.89,1996.67,323.74
2020,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,854.84,255.69,1077.01,288.96,20.55,269.22,2282.95,407.45
2021,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,1059.24,303.91,1067.99,254.82,17.68,247.87,2532.43,275.31
2022,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,1196.77,205.11,1088.36,221.63,33.21,260.09,2947.53,283.58
2023,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,1308.55,262.2,1192.9,279.76,23.8,268.87,3183.43,405.77
2024,ETTE.HE,Etteplan Oyj,Professional & Commercial Services,Industrials,HEX,1375.76,297.01,1264.35,343.78,22.47,52.74,3503.62,359.75
