Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2010,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,3.62,2.54,1.26,,,0.04,25.61,-5.81
2011,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,9.64,8.6,2.37,,,0.24,35.63,-0.72
2012,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,4.34,3.18,2.25,,,0.22,32.82,-1.43
2013,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,13.92,13.22,1.78,,,0.18,48.05,-1.62
2014,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,2.01,1.64,3.54,1.44,,0.12,56.9,-2.59
2015,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,27.57,26.35,5.56,,0.13,0.01,93.38,-3.52
2016,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,4.55,4.05,3.86,,0.08,0.0,35.69,-20.35
2017,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,24.74,24.03,4.58,,0.14,0.03,64.18,-27.02
2018,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,221.34,219.26,13.57,,0.28,0.02,294.32,-30.94
2019,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,249.9,175.89,15.9,,0.5,0.13,319.84,-80.96
2020,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,342.34,259.61,50.21,,0.58,0.12,424.48,-122.75
2021,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,368.21,286.63,64.03,,0.33,0.08,439.56,-265.76
2022,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,253.94,241.72,43.69,,0.72,0.05,318.15,-284.97
2023,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,498.95,335.88,41.24,,1.14,0.03,501.21,-248.4
2024,VICOR.ST,Vicore Pharma Holding AB,Biotechnology & Medical Research,Health Care,STX,1236.91,1188.48,74.96,,1.99,0.0,1236.91,-167.75
