Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2014,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,6172.75,1312.19,3172.64,1204.84,45.05,1589.2,14206.91,880.92
2015,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,5972.74,845.62,3172.13,1222.39,19.88,1733.11,14669.68,775.4
2016,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,6281.66,1371.27,2335.71,322.43,34.14,1052.63,13952.61,902.42
2017,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,4110.65,672.43,1758.14,90.06,104.07,1134.73,12217.89,553.89
2018,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,4406.01,937.8,4404.05,2704.11,78.07,1125.17,12818.89,928.04
2019,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,4124.78,620.73,5180.59,3352.14,42.19,1211.46,13522.97,1165.09
2020,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,4312.55,1014.96,5444.46,3185.86,22.97,1338.67,14470.53,2320.23
2021,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,4067.61,737.53,6323.07,4069.56,59.43,1416.6,14236.16,1737.83
2022,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,4575.49,893.26,4349.59,2185.62,99.77,1609.56,15028.24,785.77
2023,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,4448.89,929.24,4425.74,1947.08,89.6,1680.29,15548.47,2051.26
2024,ARJOb.ST,Arjo AB (publ),Healthcare Equipment & Supplies,Health Care,4989.35,917.06,4728.21,2031.52,113.09,1742.62,16733.28,1541.77
