Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,56.03,40.95,11.6,,,4.75,73.5,-25.81
2005,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,75.51,50.3,18.09,2.13,0.03,6.09,106.74,-29.82
2006,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,88.28,69.47,28.83,2.93,,7.48,115.34,-29.66
2007,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,38.15,27.35,12.57,0.14,,6.97,72.45,-31.87
2008,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,20.48,10.09,16.01,0.9,,7.58,30.24,-16.96
2009,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,55.36,33.08,22.4,2.2199999999999998,,6.94,59.14,-17.45
2010,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,35.33,21.3,14.62,1.08,,7.65,41.73,-8.8
2011,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,43.87,25.1,15.11,1.22,,8.33,55.89,-31.31
2012,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,56.04,32.17,32.06,17.12,,1.57,73.32,-41.77
2013,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,120.52,95.37,17.32,0.0,,3.28,144.12,-30.88
2014,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,82.48,57.18,13.63,,,2.67,101.79,-31.69
2015,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,89.65,54.79,16.63,,,2.23,103.56,-4.26
2016,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,162.33,128.74,31.38,,,1.22,185.96,36.98
2017,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,135.78,117.03,43.84,,,0.96,189.74,22.07
2018,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,102.17,77.62,32.5,,,0.9,154.95,-24.4
2019,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,101.66,69.08,29.89,,,0.77,148.59,-0.44
2020,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,100.63,79.63,34.71,,,2.31,159.71,22.3
2021,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,91.69,62.45,70.67,1.63,,4.09,234.85,-1.5
2022,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,61.4,43.68,39.13,9.26,,3.17,200.7,3.74
2023,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,73.96,47.86,36.13,6.14,,2.46,214.1,-10.71
2024,PREC.ST,Precise Biometrics AB,Electronic Equipment & Parts,Information Technology,STX,69.59,38.76,36.62,6.12,,1.61,208.77,10.23
